District/Division,,"Total
area","Forest
area","Not available
for cultivation
area","Culturable
waste area","Current
fallow
area","Single
cropped
area","Double
cropped
area","Triple
cropped
area","Quardruple
Cropped
area","Net
cropped
area","Gross
cropped
area"
1,,2,3,4,5,6,7,8,9,10,11,12
1,Bandarban,1107,798,107,104,29,47,15,7,-,69,98
2,Khagrachari,679,554,48,1,1,14,41,20,-,75,156
3,Rangamati,1511,1379,39,4,2,56,23,8,-,87,126
4,Chattagram,1305,426,441,24,5,100,20,102,-,409,820
5,Coxs Bazar,616,209,193,12,3,73,98,28,-,199,353
6,Cumilla,777,2,195,4,37,142,287,108,2,539,1048
7,Chandpur,407,-,133,2,19,159,74,20,-,253,367
8,Brahmmanbaria,465,-,125,3,38,136,137,26,-,299,488
9,Noakhali,911,385,185,3,2,75,180,61,20,336,698
10,Lakshmipur,356,50,83,2,-,22,154,45,-,221,465
11,Feni,245,20,86,2,1,16,87,33,-,136,289
1,"Chattogram
Division",8379,3823,1635,161,137,840,1116,458,22,2623,4908
12,Sylhet,853,50,267,37,74,256,132,37,-,425,631
13,Maulavi Bazar,692,71,184,27,55,205,123,27,-,355,532
14,Sunamganj,926,18,297,42,96,348,90,35,-,473,633
15,Habiganj,652,36,204,17,33,126,183,50,2,361,650
2,Sylhet Division,3123,175,952,123,258,935,528,149,2,1614,2446
16,Dhaka,362,1,179,6,9,96,56,15,-,167,253
17,Gagipur,446,65,171,11,5,100,77,17,-,194,305
18,Manikganj,342,-,127,3,1,29,113,69,-,211,462
19,Munshiganj,248,-,91,-,-,52,85,20,-,157,282
20,Narayanganj,169,-,71,-,-,46,30,22,-,98,172
21,Narsindhi,284,-,100,-,-,60,80,40,4,184,356
22,Faridpur,507,-,152,42,54,55,150,54,-,259,517
23,Rajbari,270,-,60,12,25,50,82,40,1,173,338
24,Madaripur,278,-,53,-,-,70,110,45,-,225,425
25,Gopalganj,363,-,118,7,34,80,94,30,-,204,358
26,Sariatpur,290,-,114,5,41,71,44,15,-,130,204
27,Mymensingh,1086,39,297,5,13,119,460,150,3,732,1501
28,Jamalpur,523,10,151,8,41,60,179,70,4,313,644
29,Sherpur,337,20,70,-,-,43,160,40,4,247,499
30,Tangail,844,123,158,18,554,167,219,104,-,490,917
31,Kishoerganj,664,-,194,19,20,200,180,51,-,431,713
32,Netrokona,690,2,182,30,30,170,216,60,-,446,782
3,Dhaka Division,7703,260,2288,166,328,1468,2335,842,16,4661,8728
33,Barishal,688,-,269,2,2,245,144,26,-,415,611
34,Jhalokathi,175,-,55,-,-,40,52,18,-,118,206
35,Perojpur,316,6,115,-,-,114,57,24,-,195,300
1,,2,3,4,5,6,7,8,9,10,11,12
36,Bhola,841,360,35,2,3,119,178,144,-,441,907
37,Patuakhali,796,150,146,3,16,302,144,35,-,481,695
38,Barguna,453,75,87,2,14,207,40,20,-,275,363
4,BarishalDivision,3269,591,709,9,35,1035,623,267,-,1925,3082
39,Jashore,644,-,178,2,15,30,266,152,1,449,1022
40,Jhenaidah,486,-,155,2,7,45,168,108,1,322,709
41,Magura,257,-,69,6,13,15,90,64,-,169,387
42,Narial,239,-,88,1,4,16,85,45,-,146,321
43,Khulna,1086,546,196,11,47,185,75,25,1,286,414
44,Bagerhat,978,567,88,6,20,182,75,40,-,297,452
45,Satkhira,943,370,136,11,44,245,106,30,1,382,551
46,Kushtia,398,-,132,8,18,15,105,120,-,240,585
47,Chuadanga,290,-,88,-,4,13,55,130,-,198,513
48,Meherpur,186,-,66,-,1,2,17,100,-,119,336
5,Khulna Division,5507,1483,1196,47,173,748,1042,814,4,2608,5290
49,Rajshahi,599,-,131,-,9,107,238,113,1,459,926
50,Noagoan,849,7,127,-,2,178,353,181,1,713,1431
51,Natore,470,-,125,1,7,79,186,72,-,337,667
52,"Chapai
Nawbganj",421,-,118,1,7,77,164,54,-,295,567
53,Bogura,716,-,191,-,-,7,291,226,1,525,1271
54,Joypurhat,250,-,62,-,-,7,104,77,-,188,446
55,Pabna,587,-,204,1,10,48,223,100,1,372,798
56,Sirajganj,594,-,220,1,30,27,222,94,-,343,753
6,Rajshahi Division,4486,7,1178,4,65,530,1781,917,4,3232,6859
57,Rangpur,593,3,146,1,1,26,286,130,-,442,988
58,Gaibanda,523,-,75,-,4,79,280,85,-,444,894
59,Kurigram,555,-,218,2,8,64,210,52,1,327,644
60,Nilphamari,382,1,96,1,3,8,187,86,-,281,640
61,Lalmonirhat,308,-,101,2,1,4,128,72,-,204,476
62,Dinajpur,851,18,164,-,-,58,395,215,1,669,1497
63,Thakurgaon,440,2,98,2,26,9,233,69,1,312,686
64,Panchagar,347,5,86,1,3,32,156,64,-,252,536
7,Rangpur Division,3999,29,984,9,46,280,1875,773,3,2931,6361
BANGLADESH,,36466,6368,8942,519,1042,5836,9487,4220,51,19594,37674
