SL:,Name of crops,2012-2013,2013-14,2014-15,2015-16,2016-17,2017-18
1,2,3,4,5,6,7,8
1,Aman Paddy Local,1510,1939,1736,1368,2023,2284
2,Aman Paddy H Y V,1733,2113,1960,1566,2221,2590
3,Aus Paddy Local,-,-,-,1336,1920,2173
4,Aus Paddy HYV,-,-,-,1315,1920,2258
5,Aus Paddy Pajam,-,-,-,,1625,2425
6,Boro Paddy Local,1564,1789,1688,1433,1870,2175
7,Boro Paddy HYV,1724,1909,1848,1622,2038,2514
8,Wheat,2203,2248,2103,2045,1996,2123
9,Mash,5961,5079,6015,7415,7005,5735
10,Masur,6877,7032,7028,8727,7605,5966
11,Mung,7129,7575,7445,6152,7083,6786
12,Gram,6161,4555,4845,6064,7667,7117
13,Motor,4786,4106,3651,5061,6453,4733
14,Kheshari,3961,3162,2791,4046,4978,3591
15,Mustard,4514,4037,4440,4335,4502,4815
16,Lin seeds,4557,4489,4389,4775,5309,5267
17,Til,4300,3997,4791,4271,3429,4152
18,Groundnut,7545,5067,6020,6621,6539,5766
19,Onion,2819,4165,2887,3356,2134,4057
20,Garlic,3949,7073,5902,7066,10955,5374
21,Chillies (dry),13413,13850,14351,13138,13988,13353
22,Chillies (green),3448,4648,3685,5057,4090,5539
23,Zinger,5494,11653,9573,7461,6509,7015
24,Turmeric,5859,5859,10200,12214,12284,12073
25,Corriander Seeds,4561,6900,11065,8479,7144,6720
26,Betel nut,19517,22284,24831,23155,22760,26664
27,Betel leaves,7392,5354,5354,5127,4583,5860
28,Jute (tossa),2825,3942,4556,4754,3988,3915
29,Jute (masta),2063,3153,3495,3919,3811,3679
30,Arum,1651,1775,1571,2211,2027,2349
31,karala,2105,2557,2598,2867,2898,2926
32,Jhinga,1729,1883,2212,2429,2296,2975
33,Ladys Finger,1717,1969,2071,2362,2375,2828
34,Cabbage,933,1114,929,1122,1439,1524
35,Pumkin,1388,1562,1306,1324,1446,1185
36,Beans,2031,2049,1924,1823,2587,2997
37,Punkin,1128,940,999,1047,1162,1775
38,Cucumber,1266,1720,1650,1981,1984,1933
39,Patal,1698,1816,2087,2246,2191,2628
