Year,Insecticide,,,,miticide,Fungicide,,Herbicide,Rodenticide,Total
,Granular,,Liquid,Powder,,General,Sulphur,,,
Year 2013,,,,,,,,,,
January-March,4494.00,952.64,,256.74,14.19,917.68,6147.58,856.58,34.91,13674.32
April-June,2030.57,563.96,,94.13,26.84,310.06,724.84,321.60,12.42,4084.42
July-September,3825.94,866.42,,159.78,13.63,608.87,2835.96,509.50,25.50,8845.80
October-December,3092.93,1079.63,,180.69,16.88,1681.35,3828.05,1261.38,35.61,11176.52
Total,13443.44,3462.65,,691.34,71.54,3517.96,13536.43,2949.06,108.44,37781.06
Year 2014,,,,,,,,,,
January-March,5114.04,1181.05,,218.45,9.33,1037.89,7698.17,921.22,10.97,15311.12
April-June,1504.50,550.65,,150.40,20.60,715.34,1500.20,725.35,18.43,5185.47
July-September,1601.46,87.35,,110.70,19.55,851.52,1700.40,712.50,23.50,5894.98
October-December,3521.00,983.20,,274.18,29.84,970.30,2563.54,1041.22,26.83,9410.11
Total,11741.00,2802.25,,753.73,79.32,3575.05,13462.31,3400.29,79.73,35801.68
Year 2015,,,,,,,,,,
January-March,4863.59,1588.91,,395.26,38.87,1896.36,5253.75,1944.64,34.90,16016.28
April-June,1215.90,397.22,,98.81,9.90,474.10,1315.00,486.16,8.93,4006.02
July-September,1519.87,496.53,,123.52,12.50,592.61,1642.70,607.70,11.22,5006.65
October-December,2533.12,827.55,,205.86,22.01,987.68,2733.86,1012.83,19.74,8342.65
Total,10132.48,3310.21,,823.45,83.28,3950.75,10945.31,4051.33,74.79,33371.60
Year 2016,,,,,,,,,,
January-March,"4,863.59","1,588.19",,395.26,38.87,"1,896.36","5,253.75","1,944.64",34.90,"16,016.28"
April-June,"1,215.90",397.22,,98.81,9.90,474.10,"1,315.00",486.16,8.93,"4,006.02"
July-September,"1,519.87",496.53,,123.52,12.50,592.61,"1,642.70",607.70,11.22,"5,006.65"
October-December,"2,533.12",827.55,,205.86,22.01,987.68,"2,733.86","1,012.83",19.74,"8,342.65"
Total,"10,132.48","3,310.21",,823.45,83.28,"3,950.75","10,945,31","4,015.33",74.79,"33,371.60"
Year 2017,,,,,,,,,,
January-March,2980.68,1176.97,,308.80,30.70,1440.10,3170.65,1514.80,21.70,10644.40
April-June,1823.64,7086.60,,206.40,20.50,960.40,2113.10,1010.80,14.50,6934.94
July-September,1807.80,7069.70,,207.58,21.40,962.30,2106.45,1008.50,13.85,6897.58
October-December,2983.48,1190.97,,304.50,29.93,1437.55,3175.25,1515.28,22.40,10659.36
Total,9595.60,3923.24,,1027.28,102.53,4800.35,10565.45,5049.38,72.45,35136.28
Year 2017,,,,,,,,,,
January-March,2980.68,1176.97,,308.80,30.70,1440.10,3170.65,1514.80,21.70,10644.40
April-June,1823.64,7086.60,,206.40,20.50,960.40,2113.10,1010.80,14.50,6934.94
July-September,1807.80,7069.70,,207.58,21.40,962.30,2106.45,1008.50,13.85,6897.58
October-December,2983.48,1190.97,,304.50,29.93,1437.55,3175.25,1515.28,22.40,10659.36
Total,9595.60,3923.24,,1027.28,102.53,4800.35,10565.45,5049.38,72.45,35136.28
Year 2018,,,,,,,,,,
January-March,2973.58,1724.71,,495.11,39.27,2169.88,3768.91,2448.81,26.88,13647.15
April-June,1699.19,985.55,,282.92,22.44,1239.93,2153.66,1399.32,15.36,7798.37
July-September,1274.39,739.16,,212.19,16.83,929.95,1615.25,1049.49,11.52,5848.78
October-December,2548.78,1478.33,,424.38,33.66,1859.90,3230.49,2098.98,23.04,11397.56
Total,8494.94,4927.75,,1414.6,112.2,6199.66,10768.31,6996.6,76.8,38691.86
