"Sl.
No.",Species,"Production
(Metric Ton)",%
1,Rui(Labeo rohita),8.16,0.08
2,Catla(Catla catla),8.16,0.08
3,Mrigal(Cirrhinus cirrhosus),16.42,0.16
4,Kalibaus(Labeo calbasu),3.65,0.04
5,Bata(Labeo Bata),15.77,0.16
6,Ghonia(Labeo gonius),43.76,0.44
7,Silver Carp(Hypophthalmichthys molitrix),0.03,0.00
8,Grass Carp(Ctenopharyngodon idella),0.88,0.01
9,Common Carp(Cyprinus carpio),2.34,0.02
10,Other Exotic Carp,0.00,0.00
11,Pangas(Pangasius pangasius),0.00,0.00
12,Boal/Air/Guizza Air(Wallago attu/ Sperata aor / Sperata seenghala),0.00,0.00
13,Shol/Gazar/Taki(Channa striatus/C. marulius/C. punctatus),247.81,2.48
14,Koi (Anabas testudineus),48.44,0.49
15,Singi/Magur(Heteropneustes fossilis/Clarias batrachus),0.06,0.00
16,Big Prawn,22.50,0.23
17,Small Prawn,0.00,0.00
18,Tilapia/Nilotica(Oreochromis mossambicus/ O. niloticus),159.77,1.60
19,Sarpunti(Puntius sarana),70.70,0.71
20,Other Fish,9333.19,93.50
T O T A L,,9981.64,100.00
