Commodity,Unit,2021-22,,2022-23,,2023-24,
"12075090 Mustard seeds broken
or not",Kg,36185799,2377881,13139423,1906806,25512560,2630631
"1207 Oil seeds, other",Kg,37702245,2866021,409587,32230,28606528,3728407
"1208 Flours/meal of other oil
seeds nec",Kg,853612,61318,-,-,52111,8455
"12091000Beet seed for sowing,
other",Kg,417,393,-,-,-,-
"12099100Vegetable seeds for
sowing",Kg,1301203,2211208,2471274,3136413,2971838,3904009
"12099900 Seeds, for sowing
other",Kg,4106313,691510,4645988,929987,3056450,791719
"1211 Plant & part etc use in
perfumery",Kg,26040143,1769850,29564486,1988701,24310023,2311345
"12119019 Plant & part herb etc
for medicine",Kg,6528,3671,27,1065,3504,2686
"12119091 Plant & part for
insecticidal etc",Value,200753,21433,273700,35356,265283,38646
"13021900 Vegetable saps &
extract: other",Kg,60758,307106,49857,249312,73576,390355
13023100 Mucilages &thickners:,Kg,17731,6660,13144,6935,68819,39159
"14049091 Vegetable products,",kg,-,-,-,-,3700,4519
"other, nec degummed or not",kg,-,-,-,-,-,
"1507 Soyabean oil/ fractions
other",Kg,1369191196,169855596,"141042976
6-",204949590,1133688749,127338277
1508 Groundnut oil/fraction,Kg,28750,13777,46729,23377,29373,16001
"15091000 other Olive oil, virgin",Kg,864,221,-,-,-,-
15099000 Olive oil/fraction other,Kg,1175,70,-,-,-,-
1511 Palm oil crude,Kg,2602783037,283677394,"306846558
0",332634139,2966415551,294346285
"151190090 Palm
oil/fractions,other",Kg,2555097507,278519916,"302905394
7",328145161,2935227390,291040044
15131100 Coconut (copra) oil/,Kg,1088799,130052,807387,90298,2836,1345
15131900-fraction other,,1021617,182266,875514,183661,1332831,300865
15132100 Palm kernel or,Kg,7458658,1339245,6165408,911342,6294872,714509
"babassu oil, crude",,-,-,6158509,1090721,-,-
15132900 Palm kernel/babasu,Kg,4158074,640015,615809,1090721,5328875,-
oil/frcton other,,-,-,84223,19882,-,1016231
"15132900 Castor oil and its
fraction",Kg,4158074,640015,14448564,2338970,5328875,1016231
"15155000 Sesame oil and its
fraction",Kg,83116,15020,3567116,306334,88314,21017
"15162000 Veg fat oil/fraction
hydrogenated",Kg,14807983,2267739,2262,6080,12895443,1957611
"15161000 Animal/veg oil fat boil
oxid other",Kg,898778,85998,85367,34826,2142590,199345
1520 Glycerol (glycerine) crude,Liter,26728,2747,22972,14160,29562,6764
"15211000 Vegetable waxes
refine/colour or not",Kg,84871,29340,,177681282,99697,41645
"15219000 Beeswax and other
insect waxs",Kg,28706,18589,8,1,21815,19864
"17011400 Cane sugar raw not
add flavor/color",M.ton,4775043496,185351047,179785961,11378332,2872327595,191004553
"17011200 Beet sugar raw not
add flavor/color",M.ton,76,6,92508,25348,-,-
"17019900 Sugar cane/beet
chem pure/solid other",M.ton,102491505,4983069,2907014,253558,238922,11291896
"17021900 Sugar: Lactose, solid
form",kg,69190,32279,7719,1615,32625,7373
"17023090 Sugar glucose solid
<20% fructose",Kg,4283321,292325,813,173,4059241,379942
"17026000 Sugar: glucose syrup
<=20% fructose",Kg,10234,1480,-,-,24473,5609
"17024000 Sugar: fructose/syrup
50% + other",Kg,12928,591,2546907,559988,7,27
"17041000 Chewing gum (sugar
coated or not)",Kg,-,-,4247838,1457935,-,-
"1805Cocoa powder not added
sugar/sweet",Kg,2954562,516637,4453486,2250955,2238825,453484
"1806 Chocolate/food prep contain
coca",Kg,4140344,1291244,21714812,7479428,2984892,1124200
"19011000 Malt/other prep for
infant/invalid",Kg,7631647,3009422,11579,744325,3357341,1775652
"19019011 Malt extract not for retail
sale",Kg,25621374,6083690,343727,142954,19494954,6732404
"1903 Tapioca subst from potato,
other",Kg,11225897,607517,,,3613830,940967
"19053100 Sweet biscuits,waffles &
wafers",Kg,314824,111372,,,270548,122415
"2006 Fruit nut fruit peel prsrv by
sugr",Kg,259576,17330,361940,25172,366317,34395
"2007 Jam fruit jelly marma- led
fruit cook",Kg,221802,81839,375764,144581,170147,73108
"20084000 -Pears prep/prsrv /sugar
or not",Kg,215,66,-,-,495,195
20091100 Orange juice other nec,Liter,164,23,43370,11533,41880,15514
20099000 Mixture of fruit juice,Liter,628202,85043,612066,95366,370132,62862
2102100 Active yeasts,Kg,5689303,903100,5762683,1119678,5447334,1257395
"21023000 Prepared baking
powders",Kg,461365,61947,286372,48813,290719,60745
"21039090 Sauces and
preparation, other",Kg,2795099,379943,2672059,471247,2971266,617512
"2104 Soup homogenise composite
food prep",Kg,1048003,265324,696256,216476,951860,341924
"2105 Ice cream/Ice cont cocoa or
not",Kg,35202,29975,28677,29235,24505,27161
"2106 Food preparation, other",Kg,15589884,8533508,15263063,11986099,14285892,10125873
"22019000-Water, nec",Liter,320250,27912,243061,22617,152787,16846
"22021000-Mineral water cont
sugar/sweet/flvr",Liter,388695,40996,469859,50850,457551,52752
2203000-Beer made from malt,Liter,703817,95344,891518,220294,951860,218351
22041000-Sparkling wine,Liter,110492,71753,130096,85091,24505,73225
"22042100-Wine other grape must
cont <=2 liter",Liter,23825,10943,68476,33970,14285892,17335
"22051000-Vermouth/other wine
cont <=2 liter",Liter,-,-,24,23,156,197
"22060000-Fermented beverage,
other not cider",Liter,-,-,47,30,8311,3908
"22082000 Ethyl alchol/other spirit
denatured",Liter,25708,31931,48511,64655,39323,45296
22083000-Whiskies,Liter,374293,159781,663765,454807,620637,466865
22084000-Rum and Tafia,Liter,1917,925,6612,4470,6899,3328
"22071000-Undenatured ethyl
alcohol other",Liter,351374,94386,294364,93808,365212,122468
22090000 Vinegar/substi from,Liter,219800,25811,121753,16958,156412,23292
23040000-Soyabean oil-cake,Kg,472357031,22097618,777041004,46681070,1050229763,66331563
"23091000-Preparations use in
animal feed nec",Kg,1301402,52443,1438719,119430,2757712,350139
"24011000-Tobacco N/stem/strip
flucure virginia",Kg,31130,2741,30303,2332577,30500,3592
24012000-Tobacco whole/part,Kg,1431379,780036,1002933,632141,2006228,1523597
stem/strip virg,,-,-,-,-,-,-
"31021000-Urea Aqueous solution
or not",Kg,1635018532,108210434,"238947823
1",153644712,2136854888,90998162
31022100-Ammonium sulphate,Kg,24884860,572094,17953070,665665,12053890,4858510
3103-Super phosphate fertilizer,Kg,1148265820,73333714,838296685,73336817,993019952,53249770
"31039000-Mineral/chemical
fertilizer nec",Kg,120,33,21,12,-,-
"38085000-Malathion,",Kg,-,-,-,-,-,-
"38089110-Insecticides, nec",Kg,22927975,15325699,24406925,17971936,-,-
"38092010-Fungicides for
agricultural purpose",Kg,-,-,-,-,-,-
3808401-Disinfectants,Kg,-,-,-,-,-,-
"40011000-Nturl rubber latex
vulcan or not",Kg,484010,95523,429910,108839,405150,91084
"40012110 Smoked sheet of natural
rubber",Kg,5502665,947325,5277290,1050922,2144600,412809
"40013000-Balata Gutta-percha
guavule chicle",Kg,12412,3005,1,1,-,-
"4403-Wood in the rough, other","Cu-
Mtr",251269741,10216330,160513,7512551,134491722,6045608
"45031000-Corks and stoppers,
natural",Kg,1200,201,418,3229,3951,13239
"47020000-Wood pulp chemical
dissolving grade",Kg,-,-,-,-,-,-
"47032100 Wood pulp chem
semiblch/blch coni",Kg,23752887,2141939,27095,3667411,33334882,4426203
"47032900 Wood pulp chem
semiblch/blch N/coni",Kg,266417425,16399871,229028,20797126,303034118,28606794
"47041100 Wood pulp chem
sulphite blech conifer",Kg,-,-,-,-,-,-
"47072900 Wood pulp chem
sulphite blch N/conifer",Kg,-,-,-,-,-,-
5002-Raw silk (not thrown),Kg,46615,31906,48205,57792,38935,33814
5105-Wool top,Kg,250523,207146,433482,350937,329418,406904
"5201 Cotton American RG(rolled
ginned)",M.ton,1840006117,393547485,1530276,431109505,1637298014,409481407
"84081000 Agri pistonengine
disel/semi-disel",No.,2588766,1506054,1736,2071277,1494879,3350992
"84089090-Internal piston engine
comp igni other",No,140013,226108,3975352,4813645,89995,93351
84136000 Rotary pumps,No.,10376187,3536910,369970,1662073,1429821,825277
"84242010-Appliance other
Agri/horticultural",No.,350999,238921,381093,304879,500513,445505
"84248110-Spraying machine used
in Agri",No.,-,-,-,-,-,-
8432-Ploughs,No.,28844592,5059222,25658709,5335041,23851371,4940151
84322100-Disc harrows,No.,2505,643,7940,1894,1412,484
"84329000-Parts, Agri horti mchnry
exel tractor",KG,4873608,419911,4425743,448824,5580688,603341
"84361000-Mchnry preparing
animal feed stuff",No.,7947082,4873040,4123957,2757033,5444,3153767
"843621000-Poultry-keep mchnry
incubator broodr",No.,482813,296695,331264,334395,174729,283876
"84362900-Poultry farming
machinery",No.,3017820,1173107,3482090,1580622,4476774,2146482
"84378010-Machry other for the
working of rice",No.,194345,52060,149681,54375,340390,125935
"84379010--Parts nec of mchnry for
rice huller",Kg,2692203,405166,2450396,497673,2283510,524590
"84379090-Parts nec of grain
milling machnry",Kg,1201839,310556,993057,267054,680674,211076
"8701-Tractor pedestrian control
Agri, wheel",No.,2242,8190259,19458003,7729952,19320240,9081980
