Zila/Division,,2017-18,,,,,2018-19,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Jessore,395637,160106,45.32,4.180,669316,400271.2,161981,50.15,4.626,749344
34,Jhenaidah,213297,86317,46.02,4.245,366404,216193,87488.6,48.81,4.503,393930
35,Khulna,120618,48811,43.19,3.984,194455,141987,57459,50.86,4.691,269538
36,Kustia,70446,28508,43.82,4.042,115237,86345,34941.9,45.85,4.229,147782
37,Magura,105507,42696,45.45,4.192,178989,93499,37837,42.25,3.897,147455
38,Meherpur,33674,13627,44.42,4.097,55837,53273,21558.4,41.01,3.782,81544.7
39,Narail,145950,59063,45.61,4.207,248491,130250,52709.3,47.18,4.352,229374
40,Satkhira,176605,71468,42.78,3.946,282007,184974,74854.9,44.26,4.082,305563
4,"Khulna
Division",1483049,600157,44.75,4.127,2477058,1526019,617546,47.62,4.393,2712722
41,Jamalpur.,324055,131138,42.91,3.958,519047,317764,128592,43.40,4.003,514788
42,Mymensingh,657913,266243,45.08,4.158,1107015,633691,256441,43.06,3.972,1018506
43,Netrokona,424721,171875,45.06,4.156,714290,451465,182698,42.84,3.952,722000
44,Sherpur,265164,107306,43.38,4.001,429375,236917,95875.1,44.87,4.139,396798
5,"Mymensingh
Division",1671853,676562,44.38,4.094,2769727,1639837,663606,43.33,3.996,2652092
45,Bogura,462129,187013,42.22,3.894,728268,459413.5,185915,41.38,3.817,709612
46,Joypurhat,168122,68035,44.15,4.072,277035,175065,70845,44.39,4.095,290082
47,Naogaon,491766,199007,44.32,4.088,813546,464598.4,188013,47.07,4.342,816283
48,Natore,146351,59225,50.25,4.635,274525,151744,61407.5,48.64,4.486,275484
49,"Chapai
Nawabgonj",116337,47079,42.17,3.890,183143,112461,45510.5,39.28,3.623,164882
50,Pabna,139165,56317,43.35,3.999,225208,135067,54658.7,40.79,3.762,205636
51,Rajshahi,170938,69175,42.24,3.897,269551,168249,68086.7,43.34,3.998,272192
52,Sirajgonj,344318,139338,45.80,4.224,588606,346667,140289,47.83,4.411,618878
6,"Rajshahi
Division",2039126,825190,44.14,4.072,3359883,2013265,814724,44.62,4.116,3353048
53,Dinajpur,433158,175290,44.31,4.087,716477,421913,170739,43.28,3.992,681567
54,Gaibandha,309132,125099,39.76,3.668,458840,306598,124073,41.88,3.863,479310
55,Kurigram,289911,117321,44.90,4.142,485934,280420.4,113480,45.64,4.210,477747
56,Lalmonirhat,118245,47851,40.50,3.736,178761,112540,45542.5,42.65,3.934,179177
57,Nilphamari,249992,101166,44.07,4.065,411224,206117,83411,46.24,4.265,355759
58,Panchagar,87250,35308,44.28,4.085,144219,82607,33429.2,45.35,4.183,139838
59,Rangpur,350137,141693,47.20,4.354,616865,332808,134680,48.70,4.492,604948
60,Thakurgaon,166871,67529,40.54,3.740,252528,145012,58683.2,42.33,3.904,229103
7,"Rangpur
Division",2004696,811257,43.63,4.024,3264849,1888015,764038,44.66,4.119,3147448
61,Hobigonj,267184,108124,39.89,3.680,397845,290146,117416,37.72,3.479,408473
62,Maulovibazar,130828,52943,36.72,3.387,179313,130103.4,52650,34.50,3.182,167550
63,Sunamgonj,496783,201037,39.80,3.671,738001,536352.3,217050,38.58,3.558,772322
64,Sylhet,192537,77916,33.54,3.094,241039,206008.2,83367,30.22,2.788,232389
8,"Sylhet
Division",1087332,440019,38.34,3.537,1556199,1162610,470483,36.42,3.360,1580733
BANGLADESH,,12007983,4859367,43.67,4.028,19575819,11832309,4788276,44.29,4.085,19560546
