Station,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.
Dinajpur,25.8,26.5,30.7,31.3,34,34.1,32.8,34.6,31.9,30.7,29.9,****
Rangpur,25.7,26.3,30.1,31,32,33.7,32.8,34.1,31.5,30.6,29.9,****
Rajshahi,25.4,27.6,32,34.5,36.1,35.8,34.5,34.5,33.4,31.3,29.9,24.4
Bogra,26.6,27.7,31.1,32.5,33.7,33.6,32.7,33.9,32.3,31.4,30.7,24.8
Mymensingh,26.2,27,29.8,31.6,32.4,32.3,32.5,33.5,****,****,****,****
Sylhet,27.8,28.3,31,32.4,32.3,32.7,32.3,34.3,33.2,31.5,30.1,26.1
Srimangal,27.1,28.3,30.9,32.9,33.6,33.3,32.6,34,33.3,****,****,****
Ishurdi,25.6,27.8,32.1,34.1,35.8,34.8,34,33.9,32.6,****,****,****
Dhaka,27.1,28.3,31.5,33.6,34.5,33.5,32.9,33.7,33.3,32,30.3,24.7
Comilla,26.9,27.6,30.2,32.6,33.5,33.2,31.4,32.6,32.4,31.5,****,****
Chandpur,26.9,28.2,31.7,34,34.7,34.2,32.4,33.3,33.3,32.5,****,****
Jessore,26.8,28.8,32.1,34.8,36.6,36,34.5,33.6,****,****,****,****
Faridpur,26.6,28.1,31.9,34.2,35,34.1,33.5,33.4,****,****,****,****
Madaripur,26.9,28.3,31.7,33.9,35.2,34.2,33,33.1,****,****,****,****
Khulna,26.8,28.6,31.7,34.6,36.1,35.1,33.6,33,****,****,****,****
Satkhira,26.2,28.3,31.6,34.3,35.7,34.7,34,33.1,****,****,****,****
Barisal,27,28.8,31.9,33.7,34.8,34,32.3,32.7,32.3,32.1,****,****
Bhola,27.3,28.5,31.7,33.9,34.5,33.8,31.8,32.4,32.1,32,30.2,25.6
Feni,28.2,29,31.6,34,34.4,33.8,31.9,32.9,32.7,****,****,****
M.court,27.3,28.3,31.4,33.9,35.1,33.9,31.9,32.8,32.4,31.8,****,****
Hatiya,27.6,28.5,31.1,33.4,34,33.3,30.8,31.7,31.8,****,****,****
Sitakunda,29,29.8,32.1,33.7,33.6,33.4,31.5,32.5,32.6,****,****,****
Sandwip,27.9,28.6,31.2,33.3,33.3,32.9,30.7,32.1,****,****,****,****
Ambagan(Ctg),28.1,29,31.3,33.6,33.9,32.9,31.1,32.2,32.1,32.1,31.2,27.5
Kutubdia,26.5,28,30.3,33.1,34.1,33.4,31,32.1,31.7,32,30.7,27.1
Cox's Bazar,28.2,29.6,31.2,33.7,34.2,32.5,31,31.5,31.4,32.4,31.3,27.6
Teknaf,28.5,29.6,31.4,33.4,34.1,32.3,30.6,****,****,****,****,****
Rangamati,27.2,29,32,34.7,34.6,33.5,31.3,32.9,33.1,32.3,30.4,26.1
Patuakhali,27.1,29.1,32.5,34.5,35.1,33.9,32.1,32.3,****,****,****,****
Khepupara,27.6,29.5,32.2,33.9,34.2,33.4,31.7,32.2,31.8,31.8,30.1,26.4
sydpur,26.5,26.9,30.9,31.8,32.9,34.1,32.8,34.6,31.9,31,30.2,23.9
Tangail,26.3,28,31.2,33.2,34.7,34.1,33.3,34.1,****,****,****,****
Mongla,26.7,29.1,32,34.4,36,34.8,33.6,33,32.5,32.1,29.7,****
chuadanga,25.8,28.1,32.3,34.5,36,35.2,34.1,33.5,32.9,31.7,29.8,24.4
Chittagong,27.3,29,31,32.9,33.7,33.2,31.4,32.6,32.4,****,****,****
