District name,March-2019,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,399,257
Khagrachari,400,250,0,0,0,0,346,270
Rangamati,337,250,287,200,0,0,415,291
Chattogram,455,357,450,400,440,332,527,370
Coxbazar,500,350,480,340,460,325,590,375
Cumilla,387,350,367,330,355,310,409,367
Chandpur,0,0,0,0,0,0,360,0
Brahmmanbaria,354,300,300,250,257,226,370,306
Noakhali,511,0,500,0,462,0,515,0
Lakshmipur,0,0,0,0,0,0,400,0
Feni,0,0,0,0,460,0,480,0
Chattogram Division,421,310,397,304,406,298,437,319
Sylhet,374,350,370,269,0,0,400,300
Moulvibazar,389,260,380,320,0,0,425,340
Sunamganj,387,337,0,0,0,0,398,348
Habiganj,367,250,0,0,0,0,375,275
Sylhet Division,379,299,375,295,0,0,400,316
Dhaka,455,410,430,400,415,392,485,425
Gazipur,527,366,0,0,404,285,537,391
Manikganj,424,270,388,250,341,200,445,350
Munshiganj,443,350,400,0,390,0,402,312
Narayanganj,430,380,420,360,400,350,476,391
Narsingdi,0,0,397,300,374,0,435,0
Faridpur,400,350,382,0,0,0,442,0
Rajbari,450,367,433,350,412,300,520,400
Madaripur,325,250,0,0,300,250,362,283
Gopalganj,420,0,410,0,400,0,439,240
Shariatpur,277,250,0,0,0,0,343,271
Tangail,397,0,342,0,320,0,404,300
Kishoreganj,0,0,390,310,384,0,460,437
Dhaka Division,413,333,399,328,376,296,442,345
Mymensingh,370,0,320,0,350,0,450,0
Jamalpur,382,247,325,200,315,312,390,256
Sherpur,430,0,400,0,380,330,426,0
Netrokona,450,0,420,200,0,0,480,220
Mymensingh Division,408,247,366,200,348,321,437,238
