District name,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barisal,461,0,440,0,0,0,480,0
Jhalokathi,493,0,0,0,0,0,555,0
Perojpur,473,0,391,0,400,0,502,0
Bhola,460,0,0,0,0,0,480,0
Patuakhali,425,0,0,0,0,0,500,0
Barguna,502,0,490,0,0,0,510,0
Barisal Division,469,0,440,0,400,0,505,0
Jashore,0,0,0,0,0,0,345,265
Jhenaidah,312,291,290,239,308,222,347,300
Magura,415,0,390,0,345,0,464,0
Narail,293,0,0,0,0,0,369,305
Khulna,0,0,0,0,0,0,487,398
Bagerhat,517,400,500,340,485,330,565,400
Satkhira,0,0,0,0,0,0,309,215
Kushtia,338,0,320,0,280,0,392,0
Chuadanga,320,0,0,0,0,0,338,0
Meherpur,268,0,0,0,0,0,317,0
Khulna Division,352,346,375,290,355,276,393,314
Rajshahi,345,237,330,240,0,0,366,244
Naogaon,345,295,320,283,376,306,348,289
Natore,309,223,0,0,0,0,347,245
Chapai Nawabganj,350,235,325,280,315,0,365,250
Bogra,0,0,0,0,325,218,400,250
Joypurhat,300,250,0,0,355,250,318,278
Pabna,427,241,413,230,328,0,437,
Sirajganj,0,0,0,0,0,0,415,250
Rajshahi Division,346,247,347,258,340,258,375,257
Rangpur,342,230,0,0,0,0,325,200
Gaibandha,0,0,0,0,0,0,332,288
Kurigram,322,225,0,0,0,0,306,200
Nilphamari,334,226,0,0,0,0,331,219
Lalmonirhat,331,218,0,0,0,0,332,211
Dinajpur,400,275,0,0,0,0,355,280
Thakurgaon,320,270,0,0,0,0,350,285
Panchagarh,350,247,0,0,0,0,325,227
Rangpur Division,343,242,0,0,0,0,332,239
BANGLADESH,403,299,402,290,381,280,429,309
