Zila/Division,,2017-18,,,,,2018-19,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Barguna,90072,36450,30.22,2.787,101594,81853,33124,28.22,2.603,86222
2,Barishal,114239,46230,29.70,2.740,126653,112502,45527,28.01,2.584,117625
3,Bhola,308640,124900,30.35,2.799,349600,307044,124254,29.19,2.692,334551
4,Jhalakathi,21499,8700,30.03,2.770,24100,23297,9428,28.03,2.585,24375
5,Patuakhali,248963,100750,29.33,2.705,272565,208931,84550,29.01,2.676,226244
6,Pirojpur,23493,9507,29.99,2.767,26303,24128,9764,29.02,2.677,26136
1,"Barishal
Division",806906,326537,29.91,2.759,900815,757755,306647,28.82,2.658,815154
7,Bandarban,27577,11160,30.24,2.789,31125,23890,9668,29.07,2.681,25923
8,Brahmanbaria,103811,42010,29.98,2.765,116168,103117,41729,30.49,2.812,117359
9,Chandpur,52375,21195,28.37,2.616,55455,51458,20824,27.37,2.525,52572
10,Chattogram,358767,145185,30.22,2.787,404635,356317,144194,29.83,2.752,396750
11,Cumilla,244231,98835,30.18,2.784,275112,241577,97761,29.66,2.736,267458
12,Cox' Bazar,181342,73385,30.68,2.830,207700,171584,69436,29.72,2.741,190350
13,Feni,143583,58105,30.41,2.805,162971,135780,54947,29.82,2.751,151137
14,Khagrachari,64305,26023,30.38,2.803,72933,62355,25234,30.18,2.784,70245
15,Laksmipur,167578,67815,30.05,2.772,187972,157984,63933,29.43,2.715,173552
16,Noakhali,230739,93375,28.44,2.623,244913,232008,93889,29.31,2.704,253832
17,Rangamati,22008,8906,30.15,2.781,24766,23038,9323,29.05,2.680,24981
2,"Chattogram
Division",1596316,645994,29.94,2.761,1783750,1559108,630937,29.63,2.733,1724159
18,Dhaka,20058,8117,30.12,2.778,22550,4277,1731,32.59,3.006,5203
19,Faridpur,153250,62017,30.30,2.795,173342,156058,63153,31.38,2.894,182796
20,Gazipur,94099,38080,30.12,2.778,105790,92096,37269,31.14,2.872,107050
21,Gopalgonj,17928,7255,30.24,2.790,20239,15450,6252,29.24,2.697,16863
22,Kishoregonj,176852,71568,30.81,2.842,203421,162711,65846,31.05,2.864,188584
23,Madaripur,14411,5832,30.35,2.800,16327,15331,6204,29.56,2.727,16916
24,Manikgonj,16420,6645,30.47,2.810,18674,17519,7090,29.07,2.681,19010
25,Munsigonj,1260,510,29.65,2.735,1395,987,399,30.03,2.770,1106
26,Narayanganj,5696,2305,30.20,2.785,6420,5741,2323,29.01,2.676,6217
27,Narsingdi,77506,31365,29.74,2.743,86036,75941,30732,30.70,2.832,87025
28,Rajbari,105976,42886,30.69,2.831,121395,112968,45716,31.30,2.887,131986
29,Shariatpur,4787,1937,30.17,2.783,5391,3393,1373,29.40,2.712,3724
30,Tangail,169117,68438,30.35,2.799,191560,158557,64165,31.09,2.868,184007
3,"Dhaka
Division",857361,346955,30.39,2.803,972540,821029,332253,31.01,2.861,950486
31,Bagerhat,73503,29745,29.95,2.762,82160,74359,30091,28.50,2.629,79105
32,Chuadanga,83622,33840,30.79,2.840,96120,79879,32325,29.94,2.762,89271
