SL.No,Items,Year,,,,,
,,2016-17,,2017-18,,2018-19,
,,Area in (`000`acre),,Area in (`000`acre),,Area in (`000`acre),
,,Acre,Hectare,Acre,Hectare,Acre,Hectare
1.,Net cropped Area,19650,7950,19774,8002,19973,8083
2.,Gross Cropped Area,38256,15478,38536,15595,39357,15927
3.,Single Cropped Area,5492,2222,5514,2231,5271,2133
4.,Double Cropped Area,9711,3929,9800,3966,10065,4073
5.,Triple Cropped Area,4380,1772,4418,1788,4594,1859
6.,Quadruple Cropped Area,37,15,42,17,43,17
7.,Current Fallow Area,994,402,907,367,1126,456
8.,Intensity of Cropping(%),195,79,195,79,197,80
9.,Total Irrigated area,18820,7614,18990,7685,19217,7777
10.,"Total Cereals
( `000’ M.ton)","38141
(M.ton)",,"40666
(M.ton)",,"40978
(M.ton)",
11.,Agriculture holding,"165,62,974(Agriculture census -2019 preliminary report)",,,,,
