Crop,2016-17,,,2017-18,,,2018-19,,
,"Area '000'
Acres","Per acre
Yield (Kg)","Production
'000' Tons","Area '000'
Acres","Per acre
Yield (Kg)","Production
'000' Tons","Area '000'
Acres","Per acre
Yield (Kg)","Production '000'
Tons"
OTHER FOOD CROPS,,,,,,,,,
Potato,,,,,,,,,
Local,183,4907,898,181,4836,874,173,4935,852
HYV,1052,8857,9318,996,8888,8851,985,8938,8803
Total Potato,1235,8272,10216,1174,8266,9725,1158,3376,9655
Sweet Potato,64,4130,263,59,4166,247,57,4148,236
Total,1298,,10479,1239,,9991,1214,,9891
Fodder(Bhadoi & Rabi ),42,5357,225,43,11819,242,50,4779,237
Mulbery,0.491,27,27,0.314,30,27,0.292,30,27
Total Fodder,42.49,,252,43.31,,269,50.29,,264
FLOWERS:,,,,,,,,,
Rose Flower,1,6,20,0.451,5,16,1,6,16
Marry Gold flower,2,1647,3,1,1669,2,1,3164,4
Tube Rose,219,1614,353,0.371,1774,1,1,1988,2
Belly,-,,-,-,,-,0.027,741,0.020
Gladiolas,-,,-,,,,1,4393,4
Cosmos,-,,-,,,,0.009,642,0.006
Chrysanthemum,-,,-,,,,0.030,626,0.019
Total Flower,3,,23,3,,19,05,,26
FRUITS(Temporary),,,,,,,,,
Banana,120,6715,807,121,6676,810,121,6903,833
Pineapple,35,5970,212,35,5914,208,37,5909,217
Melon (Bangi),09,4494,41,9,4512,41,9,4555,41
Water Melon,29,8646,254,29,7833,227,27,6878,188
Straberry,-,,-,,,-,0.001,,0.054
Waterfruites,,,,,,,0.36,,1.39
Total Temporary Fruits,193,,1314,194,,1286,194,,1281
PERMANENT FRUITS,,,,,,,,,
Mango,103,92,1288,110,76,1166,235,78,1220
Jack Fruit,35,1022,1050,25,121,1076,41,116,1038
Papya (ripe),04,25,135,8,25,132,8,25,136
Litchi,07,65,90,41,66,94,44,56,80
Guava,12,22,229,11,23,242,97,24,237
Ber,07,36,90,4,48,114,40,52,129
Orange,01,24,03,221,25,3,45,20,3
Pamelo,01,35,66,1,37,68,31,39,72
Lime & Lemon,06,18,69,4,12,67,159,15,67
Tetul,0.022,39,11,15,44,12,15,42,12
Jamrul,0.008,34,10,0.008,34,11,6,37,13
Green Coconut,04,76,471,193,68,445,77,74,473
Wood apple,0.062,50,29,18,50,28,18,50,29
Black Berry,0.29,44,52,47,44,50,50,43,52
Kamranga,0.017,37,14,7,38,15,7,36,13
Jalpai,0.184,40,18,21,39,18,5,39,17
Amra,0.247,50,40,18,53,40,18,53,41
Atha,0,0,0,0,0,0,1,26,6
Dewya,0,0,0,0,0,0,0.056,24,2
Lotkon,0,0,0,0,0,0,0.348,27,2
Amlocki,0,0,0,0,0,0,3,28,3
Chalta,0,0,0,0,0,0,5,61,10
Dragon,0,0,0,0,0,0,0.018,2,0.035
Dalim,0,0,0,0,0,0,1,23,3
Khormchha,0,0,0,0,0,0,0.037,15,0.169
Sofeda,0,0,0,0,0,0,1,27,7
Sharifa,0,0,0,0,0,0,1,26,2
Malta,0,0,0,0,0,0,1,22,3
Other fruits,.037,,16,79,,12,-,,-
Other citrus fruits,.079,,23,522,,22,-,,-
Total Permanent Fruits,181,,3703,1274,,3615,912,,3667
Total Fruit (Tem.+ Per.),375,,5017,1468,,4901,1106,,4948
