Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2016-17,2017-18,2018-19,2016-17,"2017-
18",2018-19,2016-17,"2017-
18",2018-19,2016-17,"2017-
18",2018-19
1,Barguna,0,0,0,0,0,0,1725,1883,3000,1725,1883,3000
2,Barishal,0,0,0,0,0,0,7554,13689,13840,7554,13689,13840
3,Bhola,0,0,0,0,0,0,8719,7611,5635,8719,7611,5635
4,Jhalokati,0,0,0,0,0,0,2052,2321,2700,2052,2360,2700
5,Patuakhali,0,0,0,0,0,0,6363,6322,9000,6363,6322,9000
6,Pirojpur,0,0,0,0,0,0,4285,6465,6958,4285,6465,6958
1,Barishal,0,0,0,0,0,0,30698,38291,41133,30698,38330,41133
7,Bandarban,476,476,298,1477,1478,2919,2190,2190,750,3667,3668,3669
8,Brahmanbaria,31,33,85,0,0,18464,18938,8349,689,18938,8349,19153
9,Chandpur,0,0,0,0,0,0,9490,9791,9797,9490,9797,9797
10,Chattogram,1083,627,1008,8407,22395,29893,37646,24342,7427,46053,46737,37320
11,Cumilla,34,0,809,158,142,18641,17183,16862,90,17341,17004,18731
12,Cox's Bazar,122,188,260,1759,1346,4483,6714,4498,1357,8473,5844,5840
13,Feni,0,0,54,0,0,1121,2835,2436,71,2835,2436,1192
14,Khagrachhari,3777,3420,6259,27280,27003,1625,15270,15367,1709,42550,42370,3334
15,Laksmipur,0,0,0,0,0,0,2295,2368,1143,2295,2368,1143
16,Noakhali,0,0,0,0,0,0,1843,1857,1858,1843,1858,1858
17,Rangamati,2036,2043,3437,26026,16430,0,17811,11330,27761,43837,27761,27761
2,Chattogram,7559,6787,12210,65107,68794,77146,132215,99390,52652,197322,168192,129798
18,Dhaka,93,92,258,815,917,8367,2606,2668,1195,3421,3585,9562
19,Faridpur,126,126,516,155,1517,1547,13191,11320,11901,13346,12837,13448
20,Gazipur,3044,3032,4557,7194,13212,62437,27563,60385,13955,34757,73597,76392
21,Gopalganj,39,7,150,313,112,1126,2018,2308,1064,2331,2420,2190
22,Kishorganj,77,78,134,1742,1253,23719,16026,23131,917,17768,24384,24636
23,Madaripur,0,0,82,0,0,0,2510,2533,2162,2510,2533,2162
24,Manikganj,0,0,674,0,0,0,5278,5378,5378,5278,5378,5378
25,Munshiganj,0,0,42,0,0,0,718,722,763,718,722,763
26,Narayanganj,0,0,3,5,5,2034,1748,2047,21,1753,2052,2055
27,Narsingdi,1544,1670,2482,13706,14102,80720,16408,21199,11216,30114,35301,91936
28,Rajbari,1282,249,126,1779,3080,0,4690,7790,0,6469,10870,0
29,Shariatpur,0,0,318,0,0,0,898,794,166,898,794,166
30,Tangail,1308,1306,3168,14376,14746,64606,49090,52124,10207,63466,66870,74813
3,Dhaka,7513,6560,12510,40085,48944,244556,142744,192399,58945,182829,241343,303501
31,Bagerhat,10,11,4,62,62,0,1831,1965,15,1893,2027,15
32,Chuadanga,402,273,597,2473,2512,5395,2861,2950,24,5334,5462,5419
33,Jashore,452,472,54,514,5616,0,10075,5679,5,10589,11295,5
34,Jhenaidah,413,415,23,5030,5755,0,8363,7514,8,13393,13269,8
35,Khulna,35,195,47,318,199,4155,3787,4305,213,4105,4504,4368
36,Kushtia,1299,1362,277,24453,24421,56640,57602,63184,20090,82055,87605,76730
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
37,Magura,523,270,677,3643,3148,2867,4038,6197,7643,7681,9345,10510
38,Meherpur,107,1076,1080,4759,4736,2867,4561,4793,7643,9320,9529,10510
39,Narail,145,187,188,2658,2785,7165,6662,4902,627,9320,7687,7792
40,Satkhira,470,468,0,2546,2390,0,2587,2886,5,5133,5276,5
4,Khulna,3856,4729,3864,46456,51624,79089,102367,104375,36273,148823,155999,115362
41,Jamalpur,41,42,42,3992,622,19676,16358,20780,594,20350,21402,20270
42,Mymensing,419,526,530,39903,8453,72158,52877,82754,7767,92780,91207,79925
43,Netrakona,0,0,0,0,0,0,16164,16419,12528,16164,16419,12528
