Zila/Division,,2017-18,,,,,2018-19,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Barguna,677,274,199.50,18.402,5041,1930,781,239.07,22.052,17223
2,Barishal,3805,1540,215.00,19.832,30539,2862,1158,216.70,19.988,23150
3,Bhola,18113,7330,288.96,26.654,195369,12968,5248,200.94,18.534,97266
4,Jhalakathi,1052,426,215.00,19.832,8443,835,338,202.06,18.638,6298
5,Patuakhali,1153,467,199.90,18.439,8603,1414,572,222.62,20.534,11750
6,Pirojpur,2634,1066,145.23,13.396,14279,2290,927,209.60,19.333,17917
1,"Barishal
Division",27434,11102,256.11,23.624,262275,22299,9024,208.57,19.238,173604
7,Bandarban,1357,549,105.57,9.737,5347,1393,564,111.01,10.240,5772
8,Brahmanbaria,4942,2000,141.52,13.053,26106,3362,1360,137.89,12.718,17303
9,Chandpur,25353,10260,186.33,17.187,176333,15254,6173,205.97,18.998,117275
10,Chattogram,11873,4805,156.12,14.401,69192,9740,3941,138.80,12.803,50463
11,Cumilla,28750,11634,199.56,18.407,214160,26820,10853,218.01,20.109,218252
12,Cox' Bazar,4942,2000,138.43,12.768,25536,4239,1716,120.31,11.097,19038
13,Feni,634,257,145.51,13.422,3444,697,282,164.42,15.166,4280
14,Khagrachari,1397,565,114.16,10.530,5953,1366,553,115.77,10.679,5905
15,Laksmipur,650,263,145.16,13.390,3522,700,283,164.30,15.155,4293
16,Noakhali,202,82,146.25,13.490,1103,447,181,181.73,16.763,3034
17,Rangamati,218,88,120.75,11.138,983,173,70,157.31,14.510,1016
2,"Chattogram
Division",80318,32503,177.34,16.358,531678,64192,25977,186.40,17.193,446631
18,Dhaka,4710,1906,233.09,21.500,40980,4713,1907,263.88,24.340,46423
19,Faridpur,736,298,251.50,23.198,6909,665,269,256.39,23.649,6364
20,Gazipur,340,138,141.03,13.009,1790,357,145,154.59,14.260,2062
21,Gopalgonj,751,304,241.85,22.308,6780,847,343,257.23,23.727,8128
22,Kishoregonj,13454,5445,142.35,13.130,71488,13278,5373,152.51,14.068,75591
23,Madaripur,1265,512,210.27,19.395,9929,1515,613,286.75,26.450,16213
24,Manikgonj,3788,1533,218.15,20.122,30846,4372,1769,211.09,19.471,34449
25,Munsigonj,89748,36319,353.57,32.613,1184479,81938,33159,356.09,32.846,"108911
2"
26,Narayanganj,7440,3011,305.57,28.186,84862,7335,2968,279.35,25.767,76487
27,Narsingdi,3322,1344,161.79,14.923,20062,3317,1342,174.70,16.114,21630
28,Rajbari,421,170,198.73,18.331,3123,525,212,190.20,17.544,3727
29,Shariatpur,4940,1999,269.38,24.847,49672,4711,1906,324.72,29.952,57102
30,Tangail,7513,3040,142.43,13.138,39943,7991,3234,147.81,13.634,44088
3,"Dhaka
Division",138428,56019,300.14,27.685,1550863,131564,53241,301.65,27.824,"148137
5"
31,Bagerhat,2445,989,165.09,15.228,15067,1835,743,161.09,14.859,11034
32,Chuadanga,3553,1438,235.48,21.721,31230,6177,2500,233.58,21.545,53857
