Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2016-17,2017-18,2018-19,2016-17,"2017-
18","2018-
19",2016-17,2017-18,2018-19,"2016-
17",2017-18,2018-19
37,Magura,0,28,151,0,0,0,809,738,811,809,738,811
38,Meherpur,0,17,21,0,0,0,309,315,327,309,315,327
39,Narail,0,19,86,0,0,167,506,541,367,506,541,534
40,Satkhira,0,25,4,0,0,0,155,5715,585,155,5715,585
4,Khulna,0,342,11550,0,0,180,7923,13392,8079,7923,13392,8259
41,Jamalpur,0,24,228,0,0,0,705,615,478,705,615,478
42,Mymensing,0,44,652,0,0,15,1048,1022,1833,1048,1022,1848
43,Netrakona,0,5,0,0,0,0,820,181,212,820,181,212
44,Sherpur,0,21,38,0,0,0,374,368,346,374,368,346
5,Mymensing,0,94,918,0,0,15,2947,2186,2869,2947,2186,2884
45,Bogura,0,94,617,0,0,0,2195,2121,1885,2195,2121,1885
46,Joypurhat,0,20,68,0,0,0,457,470,501,457,470,501
47,Naogaon,0,64,189,0,0,0,2137,179,2072,2137,179,2072
48,Natore,0,40,85,0,0,0,1779,1362,1378,1779,1362,1378
49,"Chapai
Nawabganj",0,42,115,0,0,0,609,515,594,609,515,594
50,Pabna,0,47,193,0,0,0,1008,1011,945,1008,1011,945
51,Rajshahi,0,110,442,0,0,0,2163,2228,2295,2163,2228,2295
52,Sirajganj,0,7,14,0,0,0,118,124,141,118,124,141
6,Rajshahi,0,424,1723,0,0,0,10466,8010,9811,10466,8010,9811
53,Dinajpur,0,42,119,0,0,0,699,713,755,699,713,755
54,Gaibandha,0,115,158,0,0,0,858,639,678,858,639,678
55,Kurigram,0,19,40,0,0,0,453,370,369,453,370,369
56,Lalmonirhat,0,12,39,0,0,0,329,249,255,329,249,255
57,Nilphamari,0,28,54,0,0,0,362,402,8,362,402,8
58,Panchagarh,0,20,59,0,0,0,236,360,400,236,360,400
59,Rangpur,0,34,44,0,0,0,722,783,781,722,783,781
60,Thakurgaon,0,10,22,0,0,0,209,190,204,209,190,204
7,Rangpur,0,280,535,0,0,0,3868,3706,3450,3868,3706,3450
61,Habiganj,0,2,1,0,0,0,61,62,60,61,62,60
62,Maulvibazar,0,1,3,0,0,0,23,23,23,23,23,23
63,Sunamganj,0,8,6,0,0,0,121,125,121,121,125,121
64,Sylhet,0,4,1,0,0,0,30,30,30,30,30,30
8,Sylhet,0,15,11,0,0,0,235,240,234,235,240,234
,BANGLADESH,0,1409,16967,0,4,521,28632,31433,28224,28632,31437,28745
