Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,0,0,442,0,0,0,235,495,500,235,495,500
2,Barishal,5,18,257,23,125,33,362,269,437,385,394,470
3,Bhola,6,6,262,30,37,18,300,360,419,330,397,437
4,Jhallokati,2520,2,288,0,6,6,309,308,314,309,314,320
5,Patuakhali,0,0,225,0,0,0,388,342,345,388,342,345
6,Pirojpur,18,18,226,117,125,120,257,269,260,374,394,380
1,Barishal,2549,44,1700,170,293,177,1851,2043,2275,2021,2336,2452
7,Bandarban,8,8,170,29,29,29,397,402,407,426,431,436
8,Brahmanbaria,0,0,381,0,0,0,1085,1141,1038,1085,1141,1038
9,Chandpur,0,0,514,0,0,0,1202,1088,1012,1202,1088,1012
10,Chattogram,2,2,1512,10,10,17,3543,3439,3763,3553,3449,3780
11,Cumilla,0,0,2064,0,0,91,3016,3212,3824,3016,3212,3915
12,Cox's Bazar,17,7,369,96,29,11,1633,1345,1365,1729,1374,1376
13,Feni,0,115,270,0,20,0,267,228,273,267,248,273
14,Khagrachhari,6,66,440,29,31,31,629,656,666,658,687,697
15,Laksmipur,0,0,466,0,0,396,547,547,161,547,547,557
16,Noakhali,0,452,472,0,0,0,1178,983,741,1178,983,741
17,Rangamati,44,44,510,161,161,378,1271,1259,1272,1432,1420,1650
2,Chattogram,77,694,7168,325,280,953,14768,14300,14522,15093,14580,15475
18,Dhaka,4,167,722,44,0,26,1328,3343,1591,1372,3343,1617
19,Faridpur,23,23,433,62,62,66,508,516,519,570,578,585
20,Gazipur,22,21,299,63,56,111,394,395,427,457,451,538
21,Gopalganj,4,4,624,13,13,113,663,633,529,676,646,642
22,Kishorganj,1,291,477,4,3,0,1519,1330,1491,1523,1333,1491
23,Madaripur,1,1,759,74,75,0,2865,2871,3175,2939,2946,3175
24,Manikganj,77,77,330,51,54,54,612,621,615,663,675,669
25,Munshiganj,0,0,130,0,0,0,289,278,285,289,278,285
26,Narayanganj,0,80,178,0,13,12,355,362,362,355,375,374
27,Narsingdi,13,13,382,115,338,84,786,160,625,901,498,709
28,Rajbari,825,16,300,42,44,56,368,361,395,410,405,451
29,Shariatpur,0,0,1293,0,0,0,1043,1106,1134,1043,1106,1134
30,Tangail,63,34,1314,989,265,1049,1633,1929,1450,2622,2194,2499
3,Dhaka,1033,727,7241,1457,923,1571,12363,13905,12598,13820,14828,14169
31,Bagerhat,27,27,733,112,114,107,607,703,1105,719,817,1212
32,Chuadanga,66,70,776,1084,1772,438,200,290,1626,1284,2062,2064
33,Jashore,1156,189,1206,2090,2031,2098,895,915,906,2985,2946,3004
34,Jhenaidah,139,172,698,1225,1219,1231,581,646,616,1806,1865,1847
35,Khulna,85,85,586,230,214,158,720,736,855,950,950,1013
36,Kushtia,74,58,1478,887,631,720,1535,1034,1142,2422,1665,1862
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
37,Magura,30,27,656,485,427,433,1375,1401,1402,1860,1828,1835
38,Meherpur,84,66,330,237,421,403,62,90,806,299,511,1209
39,Narail,57,57,487,333,334,650,804,820,611,1137,1154,1261
40,Satkhira,178,167,846,857,614,812,918,1204,1077,1775,1818,1889
4,Khulna,1896,918,7796,7540,7777,7050,7697,7839,10146,15237,15616,17196
41,Jamalpur,22,19,936,406,353,485,2642,2642,2004,3048,2995,2489
42,Mymensing,99,81,2126,1035,815,1201,6385,6352,4439,7420,7167,5640
43,Netrakona,0,0,439,0,0,12,986,1105,1306,986,1105,1318
44,Sherpur,4,4,387,109,111,145,670,26012,27352,779,26123,27497
5,Mymensing,125,104,3888,1550,1279,1843,10683,36111,35101,12233,37390,36944
45,Bogura,17,20,1013,556,599,600,1518,1781,1810,2074,2380,2410
46,Joypurhat,5,5,490,58,59,72,1025,1034,5198,1083,1093,5270
47,Naogaon,122,158,532,496,315,381,941,876,925,1437,1191,1306
48,Natore,45,38,833,912,743,1316,2660,2313,1332,3572,3056,2648
49,Chapai Nawabganj,357,358,807,1760,1760,1564,372,372,1580,2132,2132,3144
50,Pabna,61,51,821,399,397,438,1212,1238,1241,1611,1635,1679
51,Rajshahi,477,478,2806,6978,6608,8535,929,821,1020,7907,7429,9555
52,Sirajganj,7,8,454,48,51,90,1327,1387,5180,1375,1438,5270
6,Rajshahi,1091,1116,7756,11207,10532,12996,9984,9822,18286,21191,20354,31282
53,Dinajpur,29,115,472,356,332,418,643,783,798,999,1115,1216
54,Gaibandha,39,70,351,145,136,129,261,237,274,406,373,403
55,Kurigram,8,97,171,46,45,47,405,288,290,451,333,337
56,Lalmonirhat,1,30,200,132,37,42,406,128,185,538,165,227
57,Nilphamari,42,97,712,574,377,389,630,699,771,1204,1076,1160
58,Panchagarh,6,76,152,39,70,75,406,355,355,445,425,430
59,Rangpur,32,37,337,210,209,168,375,337,383,585,546,551
60,Thakurgaon,5,28,144,29,28,30,463,395,469,492,423,499
7,Rangpur,162,550,2539,1531,1234,1298,3589,3222,3525,5120,4456,4823
61,Habiganj,0,0,194,0,0,23,657,659,641,657,659,664
62,Maulvibazar,5,5,397,110,84,19,2363,1829,2687,2473,1913,2706
63,Sunamganj,13,13,408,65,68,37,584,606,1173,649,674,1210
64,Sylhet,111,121,676,80,79,112,1301,1308,2118,1381,1387,2230
8,Sylhet,129,139,1675,255,231,191,4905,4402,6619,5160,4633,6810
,BANGLADESH,7062,4292,39763,24035,22549,26079,65840,91644,103072,89875,114193,129151
