Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
37,Magura,0,0,0,0,0,0,0,0,0,0,0,0
38,Meherpur,0,0,0,0,0,0,0,0,0,0,0,0
39,Narail,0,0,0,0,0,0,0,0,0,0,0,0
40,Satkhira,0,0,0,0,0,0,0,0,0,0,0,0
4,Khulna,15,3,0,42,46,56,29,23,22,71,69,78
41,Jamalpur,0,0,0,0,0,0,0,0,0,0,0,0
42,Mymensingh,0,6,16,0,0,0,120,116,116,120,116,116
43,Netrakona,0,0,0,0,0,0,0,0,0,0,0,0
44,Sherpur,0,0,0,0,0,0,0,0,0,0,0,0
5,Mymensingh,0,6,0,0,0,0,120,116,116,120,116,116
45,Bogura,25,14,76,14,17,12,39,30,35,53,47,47
46,Joypurhat,0,0,2,5,0,6,33,0,5,38,0,0
47,Naogaon,0,0,0,0,0,0,0,0,0,0,0,0
48,Natore,0,9,0,0,0,0,120,125,128,120,125,128
49,"Chapai
Nawabganj",253,166,269,16403,16950,17522,6783,6768,6071,23186,23718,23593
50,Pabna,0,12,24,0,141,161,0,0,16,0,141,145
51,Rajshahi,0,33,38,809,949,957,172,271,86,981,1220,1043
52,Sirajganj,12,5,14,0,0,0,21,20,24,21,20,24
6,Rajshahi,290,239,216,17231,18057,18658,7168,7214,6365,24399,25271,24980
53,Dinajpur,42,13,63,160,26,86,514,275,169,674,301,255
54,Gaibandha,0,0,0,0,0,0,0,0,0,0,0,0
55,Kurigram,0,0,0,0,0,0,0,0,0,0,0,0
56,Lalmonirhat,0,1,1,6,6,8,7,7,7,13,13,15
57,Nilphamari,0,0,0,0,0,0,0,0,0,0,0,0
58,Panchagarh,2,5,16,22,24,25,80,75,72,102,99,97
59,Rangpur,5,2,13,21,17,18,14,12,9,35,29,27
60,Thakurgaon,33,12,88,24,317,0,219,7,285,243,324,285
7,Rangpur,82,33,181,233,390,137,834,376,542,1067,766,679
61,Habiganj,0,0,0,0,0,0,0,0,0,0,0,0
62,Maulvibazar,0,0,0,0,0,0,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0,0,0,0,0,0,0
8,Sylhet,0,0,0,0,0,0,0,0,0,0,0,0
,BANGLADESH,491,314,292,17946,18506,19368,9119,8290,7907,27065,26796,27275
