Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,222,666,701,818,754,840,963,1382,960,1781,2136,1800
2,Barishal,1153,978,1115,1323,1521,1521,938,1368,1229,2261,2889,2750
3,Bhola,5163,5040,5336,6549,8773,8671,6260,4116,2106,12809,12889,10777
4,Jhallokati,851,996,1052,708,855,1282,732,1306,1313,1440,2161,2595
5,Patuakhali,130,701,737,1005,746,746,1363,1199,1486,2368,1945,2232
6,Pirojpur,3474,2963,3201,3142,3154,3333,2313,3979,3200,5455,7133,6533
1,Barishal,10993,11345,12142,13545,15803,16393,12569,13350,10294,26114,29153,26687
7,Bandarban,47,27,29,88,88,80,118,119,131,206,207,211
8,Brahmanbaria,13,120,218,7,8,9,514,570,1188,521,578,1197
9,Chandpur,296,599,566,646,646,1011,647,647,215,1293,1293,1226
10,Chattogram,578,1525,1506,5930,5192,6116,5897,5362,5731,11827,10554,11847
11,Cumilla,47,257,263,276,190,582,1789,1187,1011,2065,1377,1593
12,Cox's Bazar,3656,2380,2421,24513,35339,48749,3238,3181,7330,27751,38520,56079
13,Feni,651,1423,1536,201,204,307,2256,1756,1332,2457,1960,1639
14,Khagrachhari,28,79,83,51,40,41,214,219,264,265,259,305
15,Laksmipur,14401,47351,49639,61035,48633,49033,36614,840,84531,97649,49473,133564
16,Noakhali,369,1498,1573,316,325,491,1865,2278,2931,2181,2603,3422
17,Rangamati,95,195,0,160,183,176,420,365,424,580,548,600
2,Chattogram,20181,55455,57834,93223,90848,106595,53572,16524,105088,146795,107372,211683
18,Dhaka,16,322,280,101,120,19,769,582,1056,870,702,1075
19,Faridpur,122,276,310,295,362,295,647,576,625,942,938,920
20,Gazipur,308,191,277,251,252,144,905,901,1088,1156,1153,1232
21,Gopalganj,53,223,264,175,759,652,353,1632,1760,528,2391,2412
22,Kishorganj,121,752,482,351,184,161,902,859,1230,1253,1043,1391
23,Madaripur,158,240,252,56,56,56,571,553,531,627,609,587
24,Manikganj,41,130,140,183,156,93,276,325,193,459,481,286
25,Munshiganj,0,35,31,0,0,0,158,159,161,158,159,161
26,Narayanganj,14,77,76,14,16,21,203,135,139,217,151,160
27,Narsingdi,1,70,74,8,8,8,320,372,380,328,380,388
28,Rajbari,257,588,625,1199,1162,447,858,802,1557,2057,1964,2004
29,Shariatpur,107,252,141,339,427,89,884,408,921,1223,835,1010
30,Tangail,106,639,665,351,435,478,1373,1425,1568,1724,1860,2046
3,Dhaka,1304,3796,3617,3323,3937,2463,8219,8729,11209,11542,12666,13672
31,Bagerhat,3206,3933,4644,3565,3625,2694,589,546,1653,4154,4171,4347
32,Chuadanga,66,83,89,86,86,87,22,22,29,108,108,116
