Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,0,349,348,0,0,0,90,107,130,90,107,130
2,Barishal,0,456,459,0,0,0,192,233,230,192,233,230
3,Bhola,0,480,483,0,0,5,151,151,150,151,151,155
4,Jhallokati,0,91,93,0,0,0,99,55,58,99,55,58
5,Patuakhali,0,797,796,0,0,0,152,155,200,152,155,200
6,Pirojpur,0,310,473,0,0,0,195,192,147,195,192,147
1,Barishal,0,2482,2653,0,0,5,879,893,915,879,893,920
7,Bandarban,16,557,16,40,42,40,632,630,631,672,672,671
8,Brahmanbaria,0,204,199,0,0,0,181,182,108,181,182,108
9,Chandpur,0,345,344,0,0,0,7,8,105,7,8,105
10,Chattogram,0,409,400,0,0,0,199,210,191,199,210,191
11,Cumilla,0,390,394,0,6,6,150,217,150,150,223,156
12,Cox's Bazar,0,151,152,0,0,0,176,187,188,176,187,188
13,Feni,0,105,102,0,0,0,42,42,39,42,42,39
14,Khagrachhari,0,289,305,0,0,0,226,223,249,226,223,249
15,Laksmipur,0,315,315,0,0,0,90,113,113,90,113,113
16,Noakhali,0,219,219,0,0,0,65,65,65,65,65,65
17,Rangamati,6,337,607,11,0,25,284,297,424,295,297,297
2,Chattogram,22,3320,3575,51,48,71,2052,2174,2263,2103,2222,2334
18,Dhaka,0,159,174,0,0,0,508,173,187,508,173,187
19,Faridpur,0,450,513,0,0,0,236,236,241,236,236,241
20,Gazipur,0,249,232,0,0,0,189,191,156,189,191,156
21,Gopalganj,0,439,65,0,0,0,278,237,216,278,237,216
22,Kishorganj,0,85,193,0,0,0,115,77,114,115,77,114
23,Madaripur,0,432,424,0,0,0,432,331,309,432,331,309
24,Manikganj,0,67,76,0,0,0,54,53,61,54,53,61
25,Munshiganj,0,77,75,0,0,0,55,58,50,55,58,50
26,Narayanganj,0,85,10,0,0,0,72,77,77,72,77,77
27,Narsingdi,0,166,162,0,178,0,77,742,420,77,920,420
28,Rajbari,0,125,125,0,0,0,86,57,108,86,57,108
29,Shariatpur,0,396,412,0,0,0,133,138,171,133,138,171
30,Tangail,0,259,260,0,0,0,152,150,152,152,150,152
3,Dhaka,0,2989,3161,0,178,0,2387,2520,2262,2387,2698,2262
31,Bagerhat,0,402,350,0,0,0,140,153,335,140,153,335
32,Chuadanga,0,40,41,0,0,0,55,57,55,55,57,55
33,Jashore,0,363,360,0,0,0,354,359,342,354,359,342
34,Jhenaidah,0,262,261,0,0,0,220,220,222,220,220,222
35,Khulna,0,470,471,0,0,0,301,299,303,301,299,303
36,Kushtia,0,340,350,0,0,0,455,407,330,455,407,330
