District name,February-2019,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,400,264
Khagrachari,360,250,0,0,0,0,400,260
Rangamati,325,238,310,0,0,0,411,297
Chattogram,462,357,457,313,450,300,527,475
Coxbazar,500,338,460,331,367,250,580,375
Cumilla,408,370,368,350,340,330,428,375
Chandpur,0,0,0,0,0,0,360,0
Brahmmanbaria,360,280,300,0,285,227,397,0
Noakhali,500,0,0,0,0,0,525,0
Lakshmipur,0,0,0,0,0,0,400,0
Feni,0,0,0,0,486,0,595,0
Chattogram Division,416,306,379,331,386,277,457,341
Sylhet,382,350,368,273,0,0,409,300
Moulvibazar,345,255,332,242,0,0,410,320
Sunamganj,350,250,0,0,0,0,375,275
Habiganj,367,250,0,0,0,0,375,275
Sylhet Division,361,276,350,258,0,0,392,293
Dhaka,460,415,440,400,430,380,490,430
Gazipur,412,308,0,0,354,274,444,308
Manikganj,424,288,380,300,364,250,429,400
Munshiganj,433,350,0,380,382,0,404,362
Narayanganj,460,400,436,368,390,325,485,324
Narsingdi,0,0,385,280,452,0,436,320
Faridpur,350,300,300,0,0,0,500,0
Rajbari,433,250,415,200,405,200,440,0
Madaripur,375,300,0,0,316,250,420,350
Gopalganj,456,0,425,0,415,0,440,315
Shariatpur,300,280,0,0,0,0,367,319
Tangail,415,0,259,0,378,0,414,300
Kishoreganj,0,0,381,310,388,0,456,437
Dhaka Division,411,321,380,320,389,280,440,351
Mymensingh,550,0,530,0,370,0,600,0
Jamalpur,384,0,364,0,371,0,470,250
Sherpur,450,200,420,200,0,0,475,270
Netrokona,450,230,420,220,0,0,480,250
Mymensingh Division,459,215,434,210,371,0,506,257
