Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
37,Magura,0,258,234,0,0,510,894,874,510,894,874,510
38,Meherpur,0,129,115,0,0,0,240,210,58,240,210,58
39,Narail,0,331,350,0,0,0,1187,1609,1291,1187,1609,1291
40,Satkhira,0,517,424,0,0,0,986,998,793,986,998,793
4,Khulna,22,3366,3094,126,107,585,9967,8910,5464,10093,9017,6049
41,Jamalpur,0,142,158,0,0,0,285,286,138,285,286,138
42,Mymensing,0,779,583,0,0,1551,924,922,124,924,922,1675
43,Netrakona,0,111,387,0,0,0,158,158,63,158,158,63
44,Sherpur,0,95,150,0,0,0,90,90,16,90,90,16
5,Mymensing,0,1127,1278,0,0,1551,1457,1456,341,1457,1456,1892
45,Bogura,0,536,475,0,0,948,908,916,31,908,916,979
46,Joypurhat,0,150,151,0,0,5827,204,207,105,204,207,5932
47,Naogaon,0,197,159,0,0,0,238,283,318,238,283,318
48,Natore,0,260,208,0,0,160,567,567,2313,567,567,2473
49,Chapai Nawabganj,0,78,81,0,0,0,110,113,318,110,113,318
50,Pabna,0,199,151,0,0,0,196,223,1042,196,223,1042
51,Rajshahi,0,153,134,0,0,33,388,363,2413,388,363,2446
52,Sirajganj,0,139,94,0,0,0,204,242,194,204,242,194
6,Rajshahi,0,1712,1453,0,0,6968,2815,2914,6734,2815,2914,13702
53,Dinajpur,0,152,104,0,35,0,320,265,556,320,300,556
54,Gaibandha,0,45,32,0,0,0,82,92,143,82,92,143
55,Kurigram,0,73,64,0,0,0,52,60,170,52,60,170
56,Lalmonirhat,0,4,16,0,0,0,3,3,107,3,3,107
57,Nilphamari,0,39,43,0,0,0,140,117,84,140,117,84
58,Panchagarh,0,67,58,0,0,0,224,124,16,224,124,16
59,Rangpur,0,47,35,0,0,0,28,42,146,28,42,146
60,Thakurgaon,0,67,54,0,0,0,97,110,29,97,110,29
7,Rangpur,0,495,406,0,35,0,946,813,1251,946,848,1251
61,Habiganj,0,51,125,0,0,0,114,108,113,114,108,113
62,Maulvibazar,0,113,103,0,0,0,877,886,44,877,886,44
63,Sunamganj,0,83,65,0,0,0,118,119,90,118,119,90
64,Sylhet,0,91,51,0,0,0,40,88,13,40,88,13
8,Sylhet,0,339,344,0,0,0,1149,1201,260,1149,1201,260
,BANGLADESH,247,17733,18437,2548,3659,13150,36906,36262,27473,39454,39921,40623
