Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,0,9121,7190,0,265,0,11730,12647,85671,11730,12912,20000
2,Barishal,85,8477,6623,725,734,0,12879,13252,11377,13604,13986,13509
3,Bhola,0,9686,4965,0,290,1766,14288,17836,21402,14288,18126,13914
4,Jhallokati,0,4244,3301,0,0,0,5826,7545,5981,5826,7545,8600
5,Patuakhali,0,5947,4665,0,0,0,13096,15486,11953,13096,15486,11364
6,Pirojpur,113,12311,3383,1595,1831,2526,24116,23288,20922,25711,25119,27340
1,Barishal,198,49785,30127,2320,3120,4292,81935,90054,157306,84255,93174,94427
7,Bandarban,33,284,31,283,275,462,526,534,622,809,809,409
8,Brahmanbaria,0,1178,387,0,0,0,2456,2655,6102,2456,2655,3858
9,Chandpur,53,2536,7341,505,505,0,5888,5888,9822,6393,6393,88
10,Chattogram,115,3309,1100,1067,1161,837,8190,8089,6022,9257,9250,9491
11,Cumilla,0,3171,981,0,0,3108,8989,8095,7427,8989,8095,5512
12,Cox's Bazar,311,2940,1551,5479,5559,7773,11672,11628,7359,17151,17187,18773
13,Feni,0,1870,593,5479,0,102,2061,1813,2196,7540,1813,1979
14,Khagrachhari,14,1034,725,36,51,33,1264,1402,827,1300,1453,1525
15,Laksmipur,0,6832,1682,0,0,0,10150,10348,13036,10150,10348,10575
16,Noakhali,0,6825,1682,0,3086,0,53488,27792,16021,53488,30878,8854
17,Rangamati,225,1746,1651,2456,2376,19,2253,2151,2105,4709,4527,3428
2,Chattogram,751,31724,17724,15305,13013,12334,106937,80395,71539,122242,93408,64892
18,Dhaka,28,1226,120,199,0,109,1532,2169,2670,1731,2169,2168
19,Faridpur,40,3144,547,322,318,216,5073,4945,4420,5395,5263,5326
20,Gazipur,27,1099,523,171,78,193,2230,1198,2827,2401,1276,15
21,Gopalganj,15,2094,412,50,20,36,2070,2100,7285,2120,2120,2235
22,Kishorganj,4,2346,293,88,82,320,7134,6860,4740,7222,6942,7145
23,Madaripur,0,3608,0,0,0,0,18887,18395,6334,18887,18395,18395
24,Manikganj,5,2364,1398,382,386,70,13671,13702,5568,14053,14088,1398
25,Munshiganj,0,355,51,0,0,0,553,139,1274,553,139,934
26,Narayanganj,0,688,34,0,0,0,1725,1725,1555,1725,1725,1053
27,Narsingdi,0,682,73,0,0,0,2273,2282,1873,2273,2282,2098
28,Rajbari,100,4074,1784,4104,4127,5650,3876,3788,4587,7980,7915,3728
29,Shariatpur,84,4828,0,433,0,0,7566,9044,6425,7999,9044,8624
30,Tangail,14,2482,5046,151,151,98,4495,4895,3480,4646,5046,5046
3,Dhaka,317,28991,10281,5900,5162,6692,71085,71242,53038,76985,76404,58165
31,Bagerhat,846,13265,777,2882,3145,0,8098,9031,17428,10980,12176,33686
32,Chuadanga,143,872,4163,1587,1568,811,2601,2586,1321,4188,4154,3798
33,Jashore,283,2795,1107,2540,2788,3969,6764,4575,8540,9304,7363,9730
34,Jhenaidah,140,3766,293,1721,1704,361,8704,9289,23,10425,10993,24054
35,Khulna,236,7314,1215,1113,1091,985,11703,10329,7637,12816,11420,11236
36,Kushtia,94,6353,1973,1570,445,725,14735,16223,13550,16305,16668,16964
