District name,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barisal,400,0,0,0,0,0,420,0
Jhalokathi,410,0,0,0,0,0,420,380
Perojpur,400,0,0,0,0,0,410,0
Bhola,400,340,350,300,0,0,410,370
Patuakhali,390,0,0,0,0,0,400,0
Barguna,400,0,0,0,0,0,410,0
Barisal Division,400,340,350,300,0,0,412,375
Jashore,0,0,0,0,0,0,329,191
Jhenaidah,339,228,326,217,320,207,359,245
Magura,363,0,357,0,336,0,409,0
Narail,363,0,342,0,290,0,380,290
Khulna,0,0,0,0,0,0,443,363
Bagerhat,392,284,393,300,438,0,408,250
Satkhira,0,0,0,0,0,0,321,201
Kushtia,332,0,313,0,280,0,372,0
Chuadanga,270,0,0,0,0,0,300,0
Meherpur,260,0,0,0,0,0,287,0
Khulna Division,331,256,346,258,333,207,361,257
Rajshahi,306,270,349,272,0,0,331,271
Naogaon,323,265,314,274,402,329,309,251
Natore,0,0,0,0,0,0,348,245
Chapai Nawabganj,350,300,350,280,330,250,397,347
Bogra,305,0,348,0,345,0,275,0
Joypurhat,300,250,0,0,300,250,338,250
Pabna,393,218,304,202,336,183,366,232
Sirajganj,308,0,405,0,0,0,330,275
Rajshahi Division,326,261,345,257,343,253,337,267
Rangpur,305,218,0,0,0,0,317,198
Gaibandha,0,0,0,0,0,0,280,198
Kurigram,275,180,0,0,0,0,285,190
Nilphamari,317,222,308,200,0,0,335,233
Lalmonirhat,278,176,0,0,0,0,288,188
Dinajpur,317,230,283,230,290,0,324,252
Thakurgaon,334,261,0,0,0,0,356,262
Panchagarh,322,242,0,0,0,0,330,250
Rangpur Division,307,218,296,215,290,0,314,221
BANGLADESH,357,283,353,262,249,293,386,291
