District name,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barisal,423,0,0,0,0,0,465,0
Jhalokathi,484,0,0,0,0,0,550,0
Perojpur,443,350,0,0,0,0,478,0
Bhola,420,0,375,0,0,0,465,0
Patuakhali,440,0,430,0,0,0,500,0
Barguna,360,0,0,0,0,0,460,0
Barisal Division,428,350,403,0,0,0,486,0
Jashore,0,0,0,0,0,0,289,220
Jhenaidah,341,243,331,320,331,223,383,260
Magura,383,0,346,0,327,0,420,0
Narail,347,0,283,0,278,0,359,298
Khulna,0,0,0,0,0,0,289,215
Bagerhat,437,350,415,320,400,300,433,365
Satkhira,0,0,0,0,0,0,324,221
Kushtia,337,0,313,0,280,0,390,0
Chuadanga,335,0,0,0,0,0,360,0
Meherpur,280,0,0,0,0,0,330,0
Khulna Division,351,297,338,320,323,262,358,263
Rajshahi,370,273,340,240,0 0,,400,275
Naogaon,338,282,328,279,318,270,345,300
Natore,0,0,0,0,0,0,341,246
Chapai Nawabganj,300,250,285,240,280,230,325,272
Bogra,353,0,305,0,330,0,300,0
Joypurhat,300,250,0,0,300,250,350,285
Pabna,422,248,363,219,340,0,442,247
Sirajganj,327,0,379,0,0,0,379,250
Rajshahi Division,344,261,333,245,314,250,360,268
Rangpur,355,235,0,0,0,0,330,215
Gaibandha,0,0,0,0,0,0,300,240
Kurigram,318,200,0,0,0,0,337,250
Nilphamari,329,216,0,0,0,0,345,235
Lalmonirhat,291,200,0,0,0,0,303,215
Dinajpur,300,250,280,240,270,0,334,290
Thakurgaon,307,249,0,0,0,0,325,255
Panchagarh,342,249,0,0,0,0,320,270
Rangpur Division,320,228,280,240,270,0,324,246
BANGLADESH,385,281,368,287,359,271,411,295
