Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
37,Magura,0,747,735,0,0,11,847,706,579,847,706,590
38,Meherpur,74,151,150,78,76,76,144,148,147,222,224,223
39,Narail,0,203,226,0,0,38,235,235,195,235,235,233
40,Satkhira,0,1150,661,0,0,419,937,1123,47,937,1123,466
4,Khulna,135,9111,8975,421,1658,1339,9342,12309,10882,9763,13967,12221
41,Jamalpur,0,1302,1324,0,0,63,2029,1689,1781,2029,1689,1844
42,Mymensing,0,4330,3787,0,0,655,3033,5818,2765,3033,5818,3420
43,Netrakona,0,905,903,0,0,56,1171,987,2206,1171,987,2262
44,Sherpur,0,761,737,0,0,0,725,770,809,725,770,809
5,Mymensing,0,7299,6808,0,0,774,6958,9264,7561,6958,9264,8335
45,Bogura,0,997,989,0,0,0,2141,2111,2116,2141,2111,2116
46,Joypurhat,0,233,231,0,0,0,162,175,175,162,175,175
47,Naogaon,0,526,527,0,0,0,573,573,179,573,573,179
48,Natore,0,1411,1399,0,0,17,4769,1685,1683,4769,1685,1700
49,Chapai Nawabganj,0,108,119,0,0,0,82,82,95,82,82,95
50,Pabna,0,805,799,0,0,0,807,814,812,807,814,812
51,Rajshahi,0,255,253,0,0,0,496,543,471,496,543,471
52,Sirajganj,0,623,618,0,0,0,755,734,656,755,734,656
6,Rajshahi,0,4958,5073,0,0,17,9785,6717,6187,9785,6717,6204
53,Dinajpur,0,439,427,0,0,0,544,544,571,544,544,571
54,Gaibandha,0,403,2782,0,0,0,275,275,276,275,275,276
55,Kurigram,0,1464,1303,0,0,0,1163,1163,1170,1163,1163,1170
56,Lalmonirhat,0,191,181,0,0,0,278,278,236,278,278,236
57,Nilphamari,0,532,490,0,0,0,648,648,674,648,648,674
58,Panchagarh,0,265,262,0,0,0,450,450,420,450,450,420
59,Rangpur,0,570,590,0,0,0,637,637,799,637,637,799
60,Thakurgaon,0,190,266,0,0,0,351,351,479,351,351,479
7,Rangpur,0,4053,6355,0,0,0,4346,4346,4625,4346,4346,4625
61,Habiganj,1,746,740,9,17,11,2058,2040,1955,2067,2057,1966
62,Maulvibazar,0,346,343,0,0,0,503,503,506,503,503,506
63,Sunamganj,0,2176,2157,0,0,6,1467,1467,1475,1467,1467,1481
64,Sylhet,0,299,320,0,0,2,231,231,239,231,231,241
8,Sylhet,1,3567,3647,9,17,19,4259,4241,4175,4268,4258,4194
,BANGLADESH,290,47364,50332,1264,1865,2739,50831,48467,48762,52095,50332,51501
