Item,Year,Area ‘000’ Acres,Production ‘000’ M.tons
Major cereals,2018-19,29272,37408
,2017-18,29566,37377
,2016-17,28210,35115
Aus Rice,2018-19,2731,2775
,2017-18,2657,2710
,2016-17,2327,2134
Aman Rice,2018-19,13892,14055
,2017-18,14035,13993
,2016-17,13797,13656
Boro Rice,2018-19,11832,19560
,2017-18,12008,19576
,2016-17,11060,18014
Wheat,2018-19,816,1017
,2017-18,868,1099
,2016-17,1026,1311
Minor cereals,2018-19,1102,3570
,2017-18,993,3289
,2016-17,968,3027
Total cereals,2018-19,30374,40978
,2017-18,30559,40666
,2016-17,29178,38142
Potato,2018-19,1158,9655
,2017-18,1180,9744
,2016-17,1235,10216
Jute (bales),2018-19,1852,8576
,2017-18,1873,8895
,2016-17,1823,8247
Maize,2018-19,1100,3569
,2017-18,990,3288
,2016-17,963,3026
Pulses,2018-19,875,393
,2017-18,897,390
,2016-17,921,387
Oil Seeds,2018-19,1098,954
,2017-18,1122,1026
,2016-17,1197,975
Spices & Condiments,2018-19,995,2673
,2017-18,997,2587
,2016-17,1008,2667
Chillies,2018-19,239,149
,2017-18,250,141
,2016-17,256,137
Onion,2018-19,426,1803
,2017-18,441,1738
,2016-17,459,1867
Drugs & Narcotics,2018-19,431,747
,2017-18,402,597
,2016-17,347,634
Tea,2018-19,133,91
,2017-18,166,78
,2016-17,133,82
Tobacco,2018-19,147,129
,2017-18,105,89
,2016-17,113,91
Vegetables,2018-19,1072,4336
,2017-18,1020,4115
,2016-17,1025,4075
Tomato,2018-19,70,388
,2017-18,70,385
,2016-17,68,389
Sweet Potato,2018-19,57,236
,2017-18,59,247
,2016-17,64,263
Sugar Crops (Temporary),2018-19,200,3142
,2017-18,223,3639
,2016-17,227,3862
Sugar Crops(Permanent),2018-19,260,489
,2017-18,657,543
,2016-17,06,530
Fruits (Temporary),2018-19,194,1281
,2017-18,194,1286
,2016-17,194,1314
Fruits (Permanent),2018-19,912,3667
,2017-18,1274,3615
,2016-17,181,3703
