District name,June-2019,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,400,250
Khagrachari,400,250,0,0,0,0,410,265
Rangamati,346,250,287,200,0,0,416,292
Chattogram,475,362,460,350,450,300,546,370
Coxbazar,500,367,462,331,338,300,590,375
Cumilla,440,350,392,300,380,290,460,370
Chandpur,0,0,0,0,0,0,360,0
Brahmmanbaria,354,280,340,0,325,227,400,288
Noakhali,533,0,500,0,480,0,552,0
Lakshmipur,0,0,0,0,0,0,400,0
Feni,0,0,0,0,460,0,480,0
Chattogram Division,435,310,407,295,406,279,456,316
Sylhet,396,350,390,270,0,0,400,360
Moulvibazar,400,332,380,258,0,0,430,340
Sunamganj,430,412,0,0,0,0,460,379
Habiganj,279,0,0,0,0,0,331,0
Sylhet Division,376,365,385,264,0,0,405,360
Dhaka,480,400,430,380,415,365,500,420
Gazipur,412,345,0,0,393,250,469,398
Manikganj,524,325,485,300,490,227,573,378
Munshiganj,463,350,436,0,420,0,475,375
Narayanganj,513,438,475,420,450,380,520,450
Narsingdi,0,0,373,283,360,0,498,370
Faridpur,400,0,0,0,337,0,550,0
Rajbari,420,350,367,300,317,300,470,400
Madaripur,425,350,0,0,367,300,450,367
Gopalganj,388,0,338,0,351,0,425,300
Shariatpur,300,200,0,0,0,0,351,278
Tangail,535,0,443,0,391,0,458,350
Kishoreganj,0,0,461,0,409,0,513,0
Dhaka Division,442,345,423,337,392,304,481,371
Mymensingh,550,0,500,0,470,0,600,0
Jamalpur,415,327,370,250,300,220,490,365
Sherpur,413,0,400,0,381,0,426,0
Netrokona,400,260,380,250,0,0,450,300
Mymensingh Division,445,294,413,250,384,220,492,333
