Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
37,Magura,0,0,0,0,0,0,0,0,0,0,0,0
38,Meherpur,0,0,0,0,0,0,0,0,0,0,0,0
39,Narail,0,0,0,0,0,0,0,0,0,0,0,0
40,Satkhira,0,0,1,0,0,2,3,2,0,3,2,2
4,Khulna,225,221,216,18324,29,1543,612,15083,13784,18936,15112,15327
41,Jamalpur,0,0,0,0,0,0,0,0,0,0,0,0
42,Mymensingh,0,0,0,0,0,0,0,0,0,0,0,0
43,Netrakona,0,0,0,0,0,0,0,0,0,0,0,0
44,Sherpur,0,0,0,0,0,0,0,0,0,0,0,0
5,Mymensingh,0,0,0,0,0,0,0,0,0,0,0,0
45,Bogura,3,3,6,5,6,6,0,0,2,5,6,8
46,Joypurhat,3,3,1,1,1,1,4,2,2,5,3,3
47,Naogaon,1,4,5,3,5,6,6,11,15,9,16,21
48,Natore,0,0,0,0,0,0,0,0,0,0,0,0
49,Chapai Nawabganj,0,0,2,0,0,0,0,0,1,0,0,1
50,Pabna,0,0,0,0,0,0,0,0,0,0,0,0
51,Rajshahi,0,0,0.04,0,0,0,0,0,0,0,0,0.008
52,Sirajganj,0,0,0,0,0,0,23,0,0,23,0,0
6,Rajshahi,7,10,14,9,12,13,33,13,20,42,25,33
53,Dinajpur,0,1,1,6,6,3,2,2,2,8,8,5
54,Gaibandha,0,1,1,1,0,0,0,0,0,1,0,0
55,Kurigram,0,0,0,0,0,0,0,0,0,0,0,0
56,Lalmonirhat,0,3,4,1,0,0,0,1,1,1,1,1
57,Nilphamari,0,0,0,0,0,0,0,0,0,0,0,0
58,Panchagarh,0,0,0,0,0,0,0,0,0,0,0,0
59,Rangpur,0,6,22,0,0,2,1,3,2,1,3,4
60,Thakurgaon,0,0,0,0,0,0,0,0,0,0,0,0
7,Rangpur,0,11,28,8,6,5,3,6,5,11,12,10
61,Habiganj,0,0,0,0,0,0,0,0,0,0,0,0
62,Maulvibazar,0,0,0,0,0,0,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0,0,0,0,0,0,0
8,Sylhet,0,0,0,0,0,0,0,0,0,0,0,0
,BANGLADESH,516,451,575,18694,559,1983,807,15419,14046,19501,15978,16029
