"Sl.
No.",District,Extensive,,Semi-intensive,,Intensive,,Highly Intensive,,Total,,
,,< 1.5 MT/Ha,,1.5 - 4.0 MT/Ha,,4> - 10 MT/Ha,,10.0> MT/Ha,,,,
,,Area,Prod.,Area,Prod.,Area,Prod.,Area,Prod.,Area,Prod.,MT/Ha
34,Dinajpur,585,780,6286,22170,1472,11329,28,423,8371,34702,4.146
35,Gaibandha,0,0,3186,12612,935,6225,15,225,4136,19062,4.609
36,Kurigram,388,531,3323,12348,287,1934,8,86,4006,14899,3.719
37,Lalmonirhat,20,29,2295,8213,215,1231,2,24,2532,9497,3.751
38,Nilphamari,0,0,3032,12780,64,441,0,0,3096,13221,4.270
39,Panchagarhh,111,150,2362,8410,11,72,0,0,2484,8632,3.475
40,Rangpur,16,19,3905,13904,650,4283,0,0,4571,18206,3.983
41,Thakurgaon,898,1003,3258,11601,731,4816,57,1583,4944,19003,3.844
,Rangpur Div.,2018,2512,27647,102038,4365,30331,110,2341,34140,137222,4.019
42,Bogra,421,1065,7908,25239,3427,26834,467,13402,12223,66540,5.444
43,C.Nawabganj,426,1212,1516,5876,432,2226,0,0,2374,9314,3.923
44,Joypurhat,31,46,2872,10493,1352,7563,0,0,4255,18102,4.254
45,Naogaon,128,173,8650,32088,3424,16352,49,560,12251,49173,4.014
46,Natore,0,0,5351,20490,2046,12388,99,1098,7496,33975,4.533
47,Pabna,0,0,8830,34716,1694,11008,5,90,10529,45814,4.351
48,Rajshahi,0,0,6128,19863,5879,32223,141,1562,12148,53648,4.416
49,Sirajganj,93,104,2728,7436,1885,8897,0,0,4706,16437,3.493
,Rajshahi Div.,1099,2600,43983,156201,20139,117491,761,16712,65982,293004,4.441
50,Bandarban,201,223,193,686,0,0,0,0,394,909,2.307
51,B.Baria,135,191,5113,17900,2061,11631,47,935,7356,30657,4.168
52,Chandpur,169,224,6325,21815,2872,15183,0,0,9366,37222,3.974
53,Chattogram,6477,11243,12791,39537,1666,11313,13,140,20947,62233,2.971
54,Cumilla,1535,2160,12332,43910,7747,50341,851,9295,22465,105706,4.705
55,Cox’s Bazar,1567,1520,606,2251,77,410,25,479,2275,4660,2.048
56,Feni,378,542,3901,14861,795,5520,29,394,5103,21317,4.177
57,Khagrachari,153,261,714,1929,92,353,0,0,959,2543,2.652
58,Lakshmipur,238,314,6020,21973,1865,7493,0,0,8123,29780,3.666
59,Noakhali,1093,1383,11694,42192,284,1922,0,0,13071,45497,3.481
60,Rangamati,63,45,307,816,5,26,0,0,375,887,2.365
,Ctg Div.,12009,18106,59996,207870,17464,104192,965,11243,90434,341404,3.775
61,Habiganj,1258,1820,2364,8230,813,4830,31,353,4466,15232,3.411
62,Moulov.Bazar,3428,4278,2132,7410,1123,6908,0,0,6683,18596,2.783
63,Sunamgonj,411,410,1651,5880,230,1515,1,20,2293,7825,3.413
64,Sylhet,856,1124,2704,7038,1976,7777,4,83,5540,16022,2.892
,Sylhet Div.,5953,7632,8851,28558,4142,21030,36,465,18982,57676,3.039
,Grand Total,40310,57698,237286,838655,89888,565795,17216,370970,384700,1833118,4.765
