Zila/Division,,2016-17,,2017-18,,2018-19,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,124,207,119,498,120,510
2,Barishal,1074,13379,1076,8838,1202,6031
3,Bhola,897,4964,894,5073,930,3762
4,Jhallokati,299,1374,300,1897,295,1880
5,Patuakhali,90,162,87,345,88,360
6,Pirojpur,380,1885,378,1884,379,1876
1,Barishal,2864,21971,2854,18535,3014,14419
7,Bandarban,206,854,210,779,210,879
8,Brahmanbaria,28,45,39,51,37,141
9,Chandpur,1428,14130,1428,12365,1414,15116
10,Chattogram,2834,13431,2828,13258,2840,13445
11,Cumilla,980,5770,929,5313,890,5070
12,Cox's Bazar,754,4100,755,4100,464,1446
13,Feni,256,3356,258,3301,194,2577
14,Khagrachhari,607,5488,612,5500,618,5519
15,Laksmipur,332,3600,340,3712,325,3582
16,Noakhali,309,1502,226,1443,212,1037
17,Rangamati,561,9502,570,8349,555,8077
2,Chattogram,8295,61778,8195,58171,7759,56889
18,Dhaka,166,904,145,849,131,852
19,Faridpur,9800,154760,10239,159212,6628,81504
20,Gazipur,2999,26040,3004,26032,3001,25032
21,Gopalganj,1746,23046,1746,23046,1745,23046
22,Kishorganj,61,529,60,548,193,402
23,Madaripur,1252,24168,261,5585,905,17140
24,Manikganj,4602,28369,4586,28167,4550,28120
25,Munshiganj,298,2108,296,2237,306,2440
26,Narayanganj,137,720,146,814,132,707
27,Narsingdi,124,1527,129,1507,130,1518
28,Rajbari,3139,55215,3268,57790,2183,39286
29,Shariatpur,1080,13946,1069,13702,969,12003
30,Tangail,3541,60419,3435,58267,3332,56752
3,Dhaka,28945,391751,28384,377756,24205,288802
31,Bagerhat,2181,24922,1538,7065,1481,14940
32,Chuadanga,4968,119537,4883,118388,4796,116543
33,Jashore,954,17168,948,17070,943,16661
34,Jhenaidah,3345,81434,1980,40211,3035,69520
35,Khulna,101,7452,99,1473,88,1495
36,Kushtia,8970,183162,8885,170305,8855,189530
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,343,4537,294,3746,307,4156
38,Meherpur,927,16863,930,16956,703,12772
39,Narail,1683,26477,1779,27541,1690,25883
40,Satkhira,343,6656,310,5907,257,5002
4,Khulna,23815,488208,21646,408662,22155,456502
41,Jamalpur,12310,225997,12513,231028,11020,227851
42,Mymensing,5680,85530,5624,84238,5639,84386
43,Netrokona,60,726,63,734,65,733
44,Sherpur,205,4353,224,4790,305,5128
5,Mymensing,18255,316606,18424,320790,17029,318098
45,Bogura,751,14746,670,13233,703,13923
46,Joypurhat,2207,46859,2206,46846,2190,46725
47,Naogaon,1410,27744,1242,24823,1251,24637
48,Natore,60685,1189958,60480,1185036,60461,1183998
49,Chapai Nawabganj,3190,33123,3664,62815,3545,60922
50,Pabna,8356,159821,8355,24046,8298,23635
51,Rajshahi,24731,463103,24649,448486,8298,23635
52,Sirajganj,2774,48541,2758,47918,2427,40335
6,Rajshahi,104104,1983895,104024,1853203,87173,1417810
53,Dinajpur,5626,80118,4640,67785,4456,62240
54,Gaibandha,5968,152293,5964,153298,6048,152942
55,Kurigram,708,10895,711,10568,705,9187
56,Lalmonirhat,263,3527,277,3541,281,3610
57,Nilphamari,183,4420,190,5013,248,6520
58,Panchagarh,10057,94924,9705,125130,8853,95534
59,Rangpur,4739,103063,4082,90700,4474,101852
60,Thakurgaon,10660,138700,10776,134902,10965,148071
7,Rangpur,38204,587940,36345,590937,36030,579956
61,Habiganj,2425,7185,2434,7128,2503,6904
62,Maulvibazar,137,408,128,384,129,386
63,Sunamganj,327,2883,330,3011,295,2010
64,Sylhet,18,150,20,154,20,147
8,Sylhet,2907,10626,2912,10677,2947,9447
,BANGLADESH,227389,3862775,222784,3638731,200312,3141923
