Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
37,Magura,0,0,0,0,0,0,0,0,0,0,0,0
38,Meherpur,0,0,0,0,0,0,0,0,0,0,0,0
39,Narail,0,0,0,0,0,0,0,0,0,0,0,0
40,Satkhira,0,0,66,0,0,0,0,0,146,0,0,146
4,Khulna,0,0,116,0,0,0,0,0,700,0,0,700
41,Jamalpur,0,0,0,0,0,0,0,0,0,0,0,0
42,Mymensing,0,0,256,0,0,0,0,0,82,0,0,82
43,Netrakona,0,0,0,0,0,0,0,0,60,0,0,60
44,Sherpur,0,0,2,0,0,0,0,0,4,0,0,4
5,Mymensing,0,0,258,0,0,0,0,0,146,0,0,146
45,Bogura,0,0,3,0,0,0,0,0,35,0,0,35
46,Joypurhat,0,0,0,0,0,0,0,0,0,0,0,0
47,Naogaon,0,0,2,0,0,0,0,0,23,0,0,23
48,Natore,0,0,0,0,0,0,0,0,0,0,0,0
49,Chapai Nawabganj,0,0,0,0,0,0,0,0,1,0,0,1
50,Pabna,0,0,0,0,0,0,0,0,0,0,0,0
51,Rajshahi,0,0,0,0,0,0,0,0,0,0,0,0
52,Sirajganj,0,0,0,0,0,0,0,0,0,0,0,0
6,Rajshahi,0,0,5,0,0,0,0,0,59,0,0,59
53,Dinajpur,0,0,0,0,0,0,0,0,2,0,0,2
54,Gaibandha,0,0,2,0,0,0,0,0,10,0,0,10
55,Kurigram,0,0,0,0,0,0,0,0,0,0,0,0
56,Lalmonirhat,0,0,3,0,0,0,0,0,9,0,0,9
57,Nilphamari,0,0,1,0,0,0,0,0,17,0,0,17
58,Panchagarh,0,0,0,0,0,0,0,0,0,0,0,0
59,Rangpur,0,0,2,0,0,0,0,0,14,0,0,14
60,Thakurgaon,0,0,2,0,0,0,0,0,28,0,0,28
7,Rangpur,0,0,10,0,0,0,0,0,80,0,0,80
61,Habiganj,0,0,4,0,0,0,0,0,83,0,0,83
62,Maulvibazar,0,0,10,0,0,0,0,0,74,0,0,74
63,Sunamganj,0,0,20,0,0,0,0,0,233,0,0,233
64,Sylhet,0,0,1,0,0,0,0,0,9,0,0,9
8,Sylhet,0,0,35,0,0,0,0,0,399,0,0,399
,BANGLADESH,0,0,5002,0,0,47,0,0,9588,0,0,9635
