Sirajganj,3022,9817,36.00,3534,6556,13.60,3328
Jamalpur,67516,41795,45.00,18808,86324,28.90,93123
Sherpur,4711,6944,52.00,3611,8322,27.96,8685
Netrakona,15182,25328,34.00,8612,23794,28.70,25490
Mymensingh,18127,51470,12.00,6176,24303,28.80,26126
Joypurhat,14089,13839,44.00,6135,20224,31.60,23855
Rajshahi,5197,1031,51.00,529,5726,32.20,6882
Naogaon,99144,28896,38.00,10980,110124,32.95,135446
Chapai Nawabganj,937,1631,37.00,603,1540,31.17,1792
Rangpur,254421,473641,26.00,123147,377568,30.64,431828
Gaibandha,28277,49915,53.00,26455,54732,28.99,59227
Bangladesh,510623,704307,30.00,208590,719213,30.39,815782
