Zila/Division,,2017-18,,,,,2018-19,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Jashore,50658,20500,28.03,2.586,53009,48075,19455,27.63,2.548,49574
34,Jhenaidah,75121,30400,27.70,2.555,77683,76044,30773,28.73,2.650,81538
35,Khulna,8105,3280,15.79,1.456,4776,6924,2802,15.38,1.418,3974
36,Kustia,68697,27800,27.56,2.542,70681,74658,30212,28.41,2.620,79165
37,Magura,8179,3310,26.49,2.444,8088,6593,2668,25.58,2.360,6296
38,Meherpur,37561,15200,30.63,2.825,42944,35138,14220,32.15,2.966,42168
39,Narail,13490,5459,19.26,1.776,9696,13374,5412,19.27,1.777,9619
40,Satkhira,15691,6350,24.79,2.287,14522,15318,6199,28.66,2.644,16387
4,"Khulna
Division",386688,156484,28.24,2.605,407612,381141,154239,28.82,2.658,409957
41,Jamalpur.,4374,1770,21.09,1.945,3443,6545,2649,25.27,2.331,6174
42,Mymensingh,41085,16626,30.65,2.827,46998,38610,15625,28.94,2.669,41708
43,Netrokona,1211,490,21.62,1.994,977,1525,617,29.10,2.684,1657
44,Sherpur,5535,2240,27.81,2.565,5746,6604,2672,27.71,2.556,6831
5,"Mymensingh
Division",52204,21126,29.34,2.706,57164,53284,21563,28.34,2.614,56370
45,Bogura,47136,19075,30.57,2.820,53795,49995,20232,30.75,2.836,57385
46,Joypurhat,620,251,30.67,2.829,710,423,171,29.82,2.751,471
47,Naogaon,146264,59190,32.60,3.007,177988,152254,61614,31.61,2.916,179648
48,Natore,16939,6855,29.28,2.701,18512,18306,7408,26.41,2.436,18043
49,"Chapai
Nawabgonj",130054,52630,27.95,2.578,135671,128535,52015,28.85,2.661,138418
50,Pabna,41944,16974,24.05,2.218,37653,38584,15614,23.48,2.166,33819
51,Rajshahi,116312,47069,30.99,2.858,134527,115102,46579,30.71,2.833,131950
52,Sirajgonj,11676,4725,20.55,1.895,8955,14707,5952,22.86,2.109,12552
6,"Rajshahi
Division",510947,206769,29.77,2.746,567811,517906,209585,29.60,2.731,572285
53,Dinajpur,19047,7708,31.16,2.875,22157,17084,6914,31.87,2.940,20324
54,Gaibandha,3974,1608,28.26,2.606,4191,5948,2407,27.73,2.558,6157
55,Kurigram,3608,1460,23.83,2.198,3209,4018,1626,24.61,2.270,3692
56,Lalmonirhat,12447,5037,32.36,2.985,15033,11990,4852,31.58,2.913,14134
57,Nilphamari,1003,406,30.81,2.842,1154,1010,409,29.61,2.731,1116
58,Panchagar,692,280,24.94,2.300,644,932,377,30.16,2.782,1049
59,Rangpur,39723,16075,32.50,2.998,48194,40313,16314,31.31,2.888,47115
60,Thakurgaon,36622,14820,31.71,2.925,43345,37342,15111,31.72,2.926,44214
7,"Rangpur
Division",117115,47394,31.55,2.910,137927,118637,48010,31.12,2.870,137799
61,Hobigonj,111496,45120,28.85,2.661,120059,110953,44900,29.43,2.714,121870
62,Maulvibazar,113120,45777,28.15,2.597,118875,140169,56723,29.43,2.715,153990
63,Sunamgonj,30770,12452,28.25,2.605,32443,34241,13857,27.13,2.503,34677
64,Sylhet,150305,60825,28.05,2.587,157383,145374,58830,28.83,2.660,156469
8,"Sylhet
Division",405690,164174,28.31,2.612,428760,430737,174310,29.05,2.679,467006
BANGLADESH,,2656583,1075061,27.33,2.520,2709643,2731376,1105328,27.22,2.511,2775478
