Type of Fishing,"Number of
Craft (Trawler/
Boat)","Number of
Unit
(Gear/Net)",Catch in Metric Ton,,,
,,,Shrimp,Hilsa,Other Fish,Total
"A. Industrial
Trawl Fishing
a) Shrimp Trawler
b) Fish Trawler","37
218","87
564","1758
975","0
12300","2378
89825","4136
103100"
TOTAL INDUSTRIAL (A),255,651,2733,12300,92203,107236
"B. Artisanal
1. Gill Net Fishing
a) Mechanized
b) Non-mechanized","20359
16831","77768
40585","0
0","254140
23876","68545
21485","322685
45361"
SUB-TOTAL,37190,118353,0,278016,90030,368046
"2. Set Bag Net Fishing
a) Seasonal (MB)
b) Seasonal (NMB)
c) All Seasonal (NMB)","10000
5200
5550","22404
10000
10025","30100
7046
855","0
0
0","118970
1335
445","149070
8381
1300"
SUB-TOTAL,20750,42429,38001,0,120750,158751
"3. Long Line Fishing
a) Jew Fish Long Line
i. Mechanized
ii. Non-mechanized
b)Other Long Line (NMB)","2500
400
325","10191
900
772","0
0
0","0
0
0","17498
450
155","17498
450
155"
SUB-TOTAL,3225,11863,0,0,18103,18103
4. Trammel Net Fishing (NMB),131,422,1015,0,3230,4245
5. Other Gears Fishing (NMB),6373,15640,1000,0,2530,3530
TOTAL ARTISANAL (B),67669,188707,40016,278016,234643,552675
GRAND TOTAL (A+B),67924,189358,42749,290316,326846,659911
