"Sl.
No.",District,Extensive,,Semi-intensive,,Intensive,,Highly Intensive,,Total,,
,,< 1.5 MT/Ha,,1.5 - 4.0 MT/Ha,,>4- 10 MT/Ha,,>10.0 MT/Ha,,,,
,,Area,Production,Area,Production,Area,Production,Area,Production,Area,Production,MT/Ha
1,Dhaka,0,0,1627,6262,213,1727,5,57,1845,8046,4.36
2,Faridpur,89,135,1377,4805,2134,11501,122,1637,3722,18078,4.86
3,Gazipur,59,103,2344,9350,1334,12337,343,4508,4080,26298,6.45
4,Gopalgonj,662,975,1449,5650,1429,8470,61,618,3601,15713,4.36
6,Kishoregonj,307,223,3039,11884,1474,10094,51,600,4871,22801,4.68
6,Madaripur,280,377,2155,8252,449,3524,0,0,2884,12153,4.21
7,Manikgonj,345,480,1528,5502,584,4643,0,0,2457,10625,4.32
8,Munshigonj,120,171,1505,5075,580,4805,0,0,2205,10051,4.56
9,Narayangonj,100,130,1269,4140,688,5837,0,0,2057,10107,4.91
10,Narsingdi,57,77,1206,4239,832,7731,582,10119,2677,22166,8.28
11,Rajbari,144,177,2654,8700,866,5675,0,0,3664,14552,3.97
12,Shariatpur,27,38,1776,7082,772,7231,0,0,2575,14351,5.57
13,Tangail,4,6,3036,9813,4290,28209,227,2553,7557,40581,5.37
,Dhaka Division,2193,2892,24965,90754,15645,111784,1391,20092,44195,225522,5.10
14,Jamalpur,0,0,1906,7213,1190,8167,87,1035,3183,16415,5.16
15,Mymensinghh,602,821,7111,24886,11502,81769,9929,263360,29144,370836,12.72
16,Netrakona,490,674,5130,19009,2084,15197,6,484,7710,35364,4.59
17,Sherpur,86,115,2344,8643,1378,9218,604,8320,4412,26296,5.96
,"Mymensinghh
Division",1178,1610,16491,59751,16154,114351,10626,273199,44449,448911,10.10
1 8,Bagerhat,2140,3105,2982,10783,0,0,0,0,5122,13888,2.71
19,Chuadanga,6,8,1034,3553,1147,7346,0,0,2187,10907,4.99
20,Jashore,77,111,8936,35375,5822,47898,2322,39667,17157,123051,7.17
21,Jhinaidah,13,18,3174,12237,1790,11555,40,410,5017,24220,4.83
22,Khulna,772,1018,3450,10495,516,3936,0,0,4738,15449,3.26
23,Kushtia,0,0,2570,9579,1793,11160,0,0,4363,20739,4.75
24,Magura,35,51,1879,6599,398,4049,0,0,2312,10699,4.63
25,Meherpur,0,0,1315,5614,213,1305,0,0,1528,6919,4.53
26,Narail,68,90,645,2292,360,2017,0,0,1073,4399,4.10
27,Satkhira,7015,7266,5437,17125,518,3682,275,6402,13245,34475,2.60
,Khulna Division,10126,11667,31422,113652,12557,92948,2637,46479,56742,264746,4.67
28,Barguna,476,683,1914,6585,34,237,0,0,2424,7505,3.10
29,Barishal,0,0,9447.2,36799,130,739,0,0,9577,37538,3.92
30,Bhola,245,358,2001,6984,5461,30802,33,415,7740,38559,4.98
31,Jhalokathi,0,0,1090,4142,29,285,4,122,1123,4549,4.05
32,Patuakhali,1226,1635,6650,18020,173,971,0,0,8049,20626,2.56
33,Pirojpur,701,974,1815,4668,340,1755,0,0,2856,7397,2.59
,Barishal Division,2648,3650,22917,77198,6167,34789,37,537,31769,116174,3.66
