Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
37,Magura,113,3877,211,1179,951,757,4829,4112,2230,6008,5063,10484
38,Meherpur,0,562,105,0,0,0,1132,1195,711,1132,1195,1542
39,Narail,42,1768,586,1140,1163,1489,7256,7484,6408,8396,8647,8704
40,Satkhira,221,4246,409,3045,3030,963,10527,12381,4132,13572,15411,15820
4,Khulna,2118,44819,10839,16777,15885,10060,76349,77205,61980,93126,93090,136018
41,Jamalpur,0,1679,901,0,0,0,5257,5363,5363,5257,5363,4659
42,Mymensing,8,6943,1117,33,26,296,9770,8200,18438,9803,8226,7449
43,Netrakona,0,1174,5,0,0,0,1146,1324,0,1146,1324,22778
44,Sherpur,0,681,73,0,0,0,835,910,0,835,910,885
5,Mymensing,8,10477,2096,33,26,296,17008,15797,23801,17041,15823,35771
45,Bogura,0,2643,389,0,0,100,8018,7620,9347,8018,7620,7739
46,Joypurhat,20,611,679,149,48,140,507,622,562,656,670,679
47,Naogaon,6,1111,319,42,47,0,2967,3066,988,3009,3113,2337
48,Natore,0,4349,523,0,0,0,13410,11300,10584,13410,11300,11085
49,Chapai Nawabganj,4,325,4,28,38,0,538,698,392,566,736,13211
50,Pabna,16,3182,682,924,9234,302,10761,2440,7107,11685,11674,11809
51,Rajshahi,132,2089,124,1294,1500,695,10976,10684,6766,12270,12184,12184
52,Sirajganj,0,1900,216,0,0,0,3601,3807,3123,3601,3807,3962
6,Rajshahi,178,16211,3236,2437,10867,1237,50778,40237,38869,53215,51104,36006
53,Dinajpur,0,1726,236,0,0,0,2687,2452,2982,2687,2452,2108
54,Gaibandha,0,1113,591,0,0,0,1574,1941,1721,1574,1941,2029
55,Kurigram,0,355,88,0,0,0,494,586,733,494,586,747
56,Lalmonirhat,0,295,42,0,29,0,675,663,808,675,692,615
57,Nilphamari,0,715,93,0,1,0,1934,1659,2144,1934,1660,1304
58,Panchagarh,0,584,102,27,38,97,1496,1424,1555,1523,1462,158
59,Rangpur,0,1062,152,0,65,0,1969,116,1606,1969,181,2370
60,Thakurgaon,0,287,59,0,0,0,772,704,745,772,704,683
7,Rangpur,0,6137,1363,27,133,97,11601,9545,12294,11628,9678,10014
61,Habiganj,0,878,696,0,0,132,3060,3065,3923,3060,3065,1461
62,Maulvibazar,0,1170,509,0,0,359,2933,2935,3106,2933,2935,2922
63,Sunamganj,2,808,237,21,21,0,3507,3509,2848,3528,3530,3041
64,Sylhet,13,1544,105,70,528,71,2963,2528,1659,3033,3056,3058
8,Sylhet,15,4400,1547,91,549,562,12463,12037,11536,12554,12586,10482
,BANGLADESH,3585,192544,77213,42890,48755,35570,428156,396512,430363,471046,445267,473075
