Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
37,Magura,0,0,0,0,0,0,0,0,0,0,0,0
38,Meherpur,0,0,0,0,0,0,0,0,0,0,0,0
39,Narail,0,0,0,0,0,0,0,0,0,0,0,0
40,Satkhira,0,0,42,0,0,0,0,0,26,0,0,26
4,Khulna,0,0,274,0,0,0,0,0,247,0,0,247
41,Jamalpur,0,0,0,0,0,0,0,0,0,0,0,0
42,Mymensing,0,0,29,0,0,0,0,0,20,0,0,20
43,Netrakona,0,0,7,0,0,0,0,0,1,0,0,1
44,Sherpur,0,0,23,0,0,0,0,0,35,0,0,35
5,Mymensing,0,0,59,0,0,0,0,0,56,0,0,56
45,Bogura,0,0,27,0,0,0,0,0,57,0,0,57
46,Joypurhat,0,0,0,0,0,0,0,0,0,0,0,0
47,Naogaon,0,0,0,0,0,0,0,0,0,0,0,0
48,Natore,0,0,0,0,0,0,0,0,0,0,0,0
49,Chapai Nawabganj,0,0,0,0,0,0,0,0,0,0,0,0
50,Pabna,0,0,0,0,0,0,0,0,0,0,0,0
51,Rajshahi,0,0,0,0,0,0,0,0,0,0,0,0
52,Sirajganj,0,0,0,0,0,0,0,0,0,0,0,0
6,Rajshahi,0,0,27,0,0,0,0,0,57,0,0,57
53,Dinajpur,0,0,0,0,0,0,0,0,0,0,0,0
54,Gaibandha,0,0,4,0,0,0,0,0,1,0,0,1
55,Kurigram,0,0,21,0,0,0,0,0,18,0,0,18
56,Lalmonirhat,0,0,20,0,0,0,0,0,14,0,0,14
57,Nilphamari,0,0,19,0,0,0,0,0,11,0,0,11
58,Panchagarh,0,0,30,0,0,0,0,0,37,0,0,37
59,Rangpur,0,0,5,0,0,0,0,0,3,0,0,3
60,Thakurgaon,0,0,8,0,0,0,0,0,6,0,0,6
7,Rangpur,0,0,107,0,0,0,0,0,90,0,0,90
61,Habiganj,0,0,0,0,0,0,0,0,0,0,0,0
62,Maulvibazar,0,0,6,0,0,0,0,0,13,0,0,13
63,Sunamganj,0,0,0,0,0,0,0,0,0,0,0,0
64,Sylhet,0,0,13,0,0,0,0,0,5,0,0,5
8,Sylhet,0,0,19,0,0,0,0,0,18,0,0,18
,BANGLADESH,0,0,3180,0,0,175,0,0,2432,0,0,2631
