Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons )",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
37,Magura,7,9,17,60,78,0,578,612,327,638,690,690
38,Meherpur,73,61,154,374,423,328,259,326,470,633,749,749
39,Narail,4,4,266,25,68,497,617,642,220,642,710,710
40,Satkhira,89,88,138,107,107,269,240,241,91,347,348,348
4,Khulna,459,352,1641,1497,1170,4039,5323,3922,2742,6820,5092,5092
41,Jamalpur,3,3,154,19,18,0,309,274,512,328,292,292
42,Mymensing,244,320,760,1622,1366,1816,6082,5844,85,7704,7210,7210
43,Netrakona,5,7,1,39,41,0,309,324,1773,348,365,365
44,Sherpur,6,8,27,12,14,0,183,324,385,195,338,338
5,Mymensing,258,338,942,1692,1439,1816,6883,6766,85,8575,8205,8205
45,Bogura,0,0,94,1,0,0,306,295,295,307,295,295
46,Joypurhat,8,9,9,28,33,83,75,78,31,103,111,111
47,Naogaon,8,11,349,40,40,609,522,570,121,562,610,610
48,Natore,79,57,49,327,386,624,722,744,311,1049,1130,1130
49,Chapai Nawabganj,142,145,0,307,260,0,296,288,0,603,548,548
50,Pabna,57,69,71,538,431,652,882,1483,1358,1420,1914,1914
51,Rajshahi,47,48,378,134,148,768,808,823,196,942,971,971
52,Sirajganj,6,6,6,13,7,833,829,870,7,842,877,877
6,Rajshahi,347,345,956,1388,1305,3569,4440,5151,2319,5828,6456,6456
53,Dinajpur,50,50,293,75,100,113,489,0,601,564,741,741
54,Gaibandha,0,0,101,0,0,0,241,255,265,241,255,255
55,Kurigram,1,0.8,66,2,2,6,129,174,113,131,176,176
56,Lalmonirhat,4,14,77,25,32,81,216,240,317,241,272,272
57,Nilphamari,0,1.4,47,0,0,23,313,274,254,313,274,274
58,Panchagarh,5,5,183,10,10,45,278,293,394,288,303,303
59,Rangpur,33,33,50,54,54,71,284,289,286,338,343,343
60,Thakurgaon,23,12,1164,104,106,84,288,245,210,392,351,351
7,Rangpur,116,116.2,1981,270,304,423,2238,1770,2440,2508,2715,2715
61,Habiganj,60,66,66,250,269,657,551,654,252,801,923,923
62,Maulvibazar,873,872,872,7115,7145,2749,2757,2749,7145,9872,9894,9894
63,Sunamganj,3,20,20,26,72,71,97,71,72,123,143,143
64,Sylhet,109,107,107,86,115,270,307,292,139,393,407,407
8,Sylhet,1045,1065,1065,7477,7601,3747,3712,3766,7608,11189,11367,11367
,BANGLADESH,6371,4425,158842,25225,24066,33345,43907,42366,187478,69132,67077,67077
