Name of Crops,2016-17,,2017-18,,2018-19,
,"Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)"
Bhadoi Fodder,4438,25899,4548,28315,4728,26922
Rabi Fodder,37193,199380,38222,213772,44967,210552
Total Fodder,41631,225279,42770,242087,49695,237474
Mulberry,491,27065,314,26796,292,27275
Sub Total,42122,252344,43084,268883,49987,264749
Marry Gold,2020,3327,1187,1981,1526,3566
Rose Flower,516,19501,451,15978,575,16029
Tube Rose,0,0,0,0,885,1759
Belly,0,0,0,0,27,20
Gladiolas,0,0,0,0,896,3936
Kosmos,0,0,0,0,9.59,6.159
Chrysanthemum,0,0,0,0,30.43,19.04
others,219,353,371,658,-,-
Sub Total,2755,23181,2009,18617,3949.02,25335.2
Grand Total,44877,275525,45093,287500,53936.02,290084.2
