District name,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barisal,446,0,0,0,0,0,457,0
Jhalokathi,456,0,0,0,0,0,530,0
Perojpur,512,450,495,400,450,350,544,500
Bhola,441,0,407,0,0,0,496,0
Patuakhali,420,0,0,0,0,,480,0
Barguna,510,0,500,0,0,0,528,0
Barisal Division,464,450,467,400,450,350,506,500
Jashore,0,0,0,0,0,0,289,189
Jhenaidah,346,230,330,220,310,210,390,274
Magura,471,0,348,0,294,0,533,0
Narail,330,0,0,0,326,0,388,320
Khulna,0,0,0,0,0,0,559,477
Bagerhat,350,317,325,300,300,280,367,320
Satkhira,0,0,0,0,0,0,293,200
Kushtia,340,0,330,0,290,0,393,0
Chuadanga,300,0,0,0,0,0,320,0
Meherpur,275,0,0,0,0,0,328,0
Khulna Division,345,274,333,260,304,245,386,297
Rajshahi,362,289,345,250,330,0,360,273
Naogaon,338,295,318,261,305,297,350,280
,309,223,0,0,0,0,348,245
,314,260,300,252,290,240,350,267
,0,0,0,0,350,258,425,300
Joypurhat,310,250,0,0,300,250,352,280
Pabna,427,312,413,241,328,0,463,254
Sirajganj,0,0,0,0,0,0,327,250
Rajshahi Division,343,272,344,251,317,261,372,269
Rangpur,330,250,0,0,0,0,370,220
Gaibandha,0,0,0,0,0,0,335,263
Kurigram,305,220,0,0,0,0,325,245
Nilphamari,278,215,0,0,0,0,364,248
Lalmonirhat,355,263,288,250,0,0,350,275
Dinajpur,300,233,292,245,280,0,352,260
Thakurgaon,310,250,0,0,0,0,330,265
Panchagarh,345,242,0,0,0,0,370,250
Rangpur Division,318,239,290,248,280,0,350,253
BANGLADESH,389,301,387,291,361,286,421,309
