Sl. No.,Species,Production,
,,(MT),%
1,Rui,43874,5.61
2,Catla,18837,2.41
3,Mrigal,23745,3.04
4,Kalibaus,2868,0.37
5,Bata,1183,0.15
6,Gonia,1815,0.23
7,Silver carp,2514,0.32
8,Grass carp,6714,0.86
9,Mirror/Common carp,22248,2.85
10,Other Exotic carp,0,0.00
11,Pangas,9866,1.26
12,Boal/Air,60832,7.78
13,Shol/Gazar/Taki,67680,8.66
14,Koi,9167,1.17
15,Shingi/Magur,55790,7.14
16,Tilapia/ Nilotica,0,0.00
17,Sarpunti/Thai punti,19227,2.46
18,Big Shrimp/ Prawn,1874,0.24
19,Small Shrimp/ Prawn,43370,5.55
20,Other Inland Fish,389877,49.89
T O T A L,,781481,100.00
