Zila/Division,,2017-18,,,,,2018-19,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Barguna,0,0,0,0,0,0,0,0,0,0
2,Barishal,2024,819,14.10,1.300,1065,2553,1033,14.63,1.349,1394
3,Bhola,0,0,0.00,0,0,0,0,0.00,0.000,0
4,Jhalakathi,0,0,0.00,0,0,0,0,0.00,0.000,0
5,Patuakhali,0,0,0.00,0,0,0,0,0.00,0.000,0
6,Pirojpur,6894,2790,14.11,1.301,3630,7200,2914,14.11,1.301,3791
1,"Barishal
Division",8918,3609,14.10,1.301,4695,9753,3947,14.24,1.301,5185
7,Bandarban,0,0,0,0.0,0,0,0,0,0,0
8,Brahmanbaria,52511,21250,15.39,1.420,30175,21110,8543,14.91,1.375,11749
9,Chandpur,45357,18355,11.71,1.08,19823,43118,17449,11.42,1.053,18380
10,Chattogram,0,0,0.00,0,0,0,0,0.00,0.000,0
11,Cumilla,70315,28455,12.14,1.120,31870,71330,28866,13.90,1.282,37010
12,Cox' Bazar,0,0,0,0,0,0,0,0,0,0
13,Feni,0,0,0,0,0,0,0,0,0,0
14,Khagrachari,0,0,0,0,0,0,0,0,0,0
15,Laksmipur,12850,5200,14.09,1.300,6760,10722,4339,14.09,1.300,5641
16,Noakhali,512,207,12.99,1.198,248,580,235,15.75,1.453,341
17,Rangamati,0,0,0.00,0.000,0,0,0,0.00,0.000,0
2,"Chattogram
Division",181544,73467,13.12,1.210,88876,146860,59431,13.34,1.210,73120
18,Dhaka,19670,7960,13.01,1.200,9552,10191,4124,10.30,0.950,3918
19,Faridpur,41687,16870,12.99,1.198,20210,40340,16325,18.01,1.661,27119
20,Gazipur,895,362,12.37,1.141,413,766,310,11.40,1.052,326
21,Gopalgonj,39587,16020,12.93,1.193,19110,38890,15738,11.23,1.036,16302
22,Kishoregonj,0,0,0.00,0.000,0,0,0,0.00,0.000,0
23,Madaripur,37437,15150,14.65,1.352,20479,36517,14778,13.55,1.250,18470
24,Manikgonj,79075,32000,9.76,0.900,28800,68160,27583,10.23,0.944,26028
25,Munsigonj,50003,20235,9.87,0.910,18414,49890,20189,10.56,0.974,19665
26,Narayanganj,19102,7730,12.36,1.140,8812,18560,7511,12.60,1.162,8729
27,Narsingdi,2676,1083,14.09,1.300,1408,2713,1098,13.89,1.281,1407
28,Rajbari,6252,2530,11.93,1.100,2783,4482,1814,11.93,1.100,1995
29,Shariatpur,22858,9250,14.65,1.351,12500,21995,8901,14.80,1.365,12151
30,Tangail,80669,32645,10.84,1.000,32645,81550,33001,9.78,0.902,29771
3,"Dhaka
Division",399910,161835,11.73,1.082,175126,374054,151371,11.88,1.096,165881
31,Bagerhat,1124,455,13.58,1.253,570,905,366,12.38,1.142,418
32,Chuadanga,0,0,0.00,0.000,0,0,0,0.00,0.000,0
