Name of Crops,2016-17,,2017-18,,2018-19,
,"Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)"
Gram,14615,6237,12421,4964,11891,5347
Arhar,1275,552,1147,465,1149,468
Lentil(Masur),382224,168837,385399,176633,351930,175384
Pea(Motor),17497,7191,17746,8139,17538,7439
Green gram (Mug),102311,34783,92655,34102,102109,33951
Black gram (Mashkalai),102838,39187,109290,41430,113812,42273
Kheshari,276829,119344,257506,114775,257536,116718
Fallon,-,-,-,-,16698,10999
Garikalai,-,-,-,-,2472,848
Other pulses,23347,11224,20897,9298,-,-
Total,920936,387355,897061,389806,875135,393427
