District name,With Food,,,,,,Witout Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barisal,400,0,0,0,0,0,440,0
Jhalokathi,440,0,0,0,0,0,450,400
Perojpur,400,0,0,0,0,0,420,0
Bhola,420,360,380,320,0,0,420,380
Patuakhali,410,0,0,0,0,0,430,0
Barguna,420,0,0,0,0,0,420,0
Barisal Division,415,360,380,320,0,0,430,390
Jashore,0,0,0,0,0,0,256,191
Jhenaidah,359,231,355,226,346,203,418,291
Magura,360,0,0,0,331,0,382,0
Narail,452,0,444,0,495,0,478,393
Khulna,0,0,0,0,0,0,459,381
Bagerhat,333,280,327,250,300,225,377,315
Satkhira,0,0,0,0,0,0,288,193
Kushtia,326,0,300,0,280,0,370,0
Chuadanga,250,0,0,0,0,0,280,0
Meherpur,240,0,0,0,0,0,260,0
Khulna Division,331,255,357,238,350,214,357,294
Rajshahi,292,232,346,237,0,0,330,242
Naogaon,323,265,314,274,302,229,309,243
Natore,0,0,0,0,0,0,337,258
Chapai Nawabganj,294,250,260,250,255,250,278,230
Bogra,375,280,360,0,354,267,467,350
Joypurhat,300,250,0,0,300,250,338,250
Pabna,387,216,303,200,297,190,393,233
Sirajganj,308,0,305,0,0,0,330,275
Rajshahi Division,325,249,315,240,302,237,348,260
Rangpur,295,185,0,0,0,0,305,240
Gaibandha,0,0,0,0,0,0,276,189
Kurigram,306,198,0,0,0,0,330,267
Nilphamari,288,205,280,173,0,0,310,236
Lalmonirhat,283,182,0,0,0,0,289,183
Dinajpur,340,242,295,247,0,0,357,253
Thakurgaon,306,263,0,0,0,0,317,264
Panchagarh,291,201,0,0,0,0,299,210
Rangpur Division,301,211,288,210,0,0,310,230
BANGLADESH,362,281,348,260,330,238,390,307
