Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
37,Magura,0,57,58,0,0,51,263,240,1,263,240,52
38,Meherpur,0,2,2,0,0,0,1,2,1,1,2,1
39,Narail,0,10,19,0,0,11,22,20,13,22,20,24
40,Satkhira,0,20,21,0,0,0,12,12,17,12,12,17
4,Khulna,0,414,526,0,0,113,626,616,328,626,616,441
41,Jamalpur,0,149,155,0,0,0,338,427,490,338,427,490
42,Mymensing,0,372,432,0,0,0,743,773,626,743,773,626
43,Netrakona,0,61,62,0,0,0,114,151,150,114,151,150
44,Sherpur,0,105,112,0,0,0,252,282,226,252,282,226
5,Mymensing,0,688,748,0,0,0,1447,1633,1492,1447,1633,1492
45,Bogura,0,73,74,0,0,0,217,215,213,217,215,213
46,Joypurhat,0,67,68,0,0,0,130,131,105,130,131,105
47,Naogaon,0,144,125,0,0,46,451,454,261,451,454,307
48,Natore,0,73,7,0,0,0,197,204,210,197,204,210
49,Chapai Nawabganj,0,0,6,0,0,0,0,0,8,0,0,8
50,Pabna,0,34,37,0,0,0,88,91,95,88,91,95
51,Rajshahi,0,52,54,0,0,0,235,240,247,235,240,247
52,Sirajganj,0,69,56,0,0,0,200,187,103,200,187,103
6,Rajshahi,0,512,469,0,0,46,1518,1522,1242,1518,1522,1288
53,Dinajpur,0,122,124,0,0,0,300,303,309,300,303,309
54,Gaibandha,0,92,94,0,0,13,171,163,167,171,163,180
55,Kurigram,0,566,58,0,0,0,89,101,104,89,101,104
56,Lalmonirhat,0,179,179,0,0,0,452,357,322,452,357,322
57,Nilphamari,0,149,135,0,0,0,407,437,330,407,437,330
58,Panchagarh,0,66,67,0,0,0,166,173,203,166,173,203
59,Rangpur,0,74,78,0,0,0,174,171,188,174,171,188
60,Thakurgaon,0,68,59,0,0,0,401,390,431,401,390,431
7,Rangpur,0,1315,1294,0,0,13,2160,2095,2054,2160,2095,2067
61,Habiganj,0,15,15,0,0,0,29,31,25,29,31,25
62,Maulvibazar,0,346,36,0,0,0,1440,1083,958,1440,1083,958
63,Sunamganj,0,146,149,0,0,0,264,260,263,264,260,263
64,Sylhet,0,241,231,78,41,39,280,319,277,358,360,316
8,Sylhet,0,748,574,78,41,39,2013,1693,1523,2091,1734,1562
,BANGLADESH,17,7181,7156,158,204,403,14063,14556,12926,14221,14760,13329
