Crops,Area,,,,,Production,,,,
,2014-15,2015-16,2016-17,2017-18,2018-19,2014-15,2015-16,2016-17,2017-18,2018-19
SUGAR CROPS,,,,,,,,,,
Sugarcane,64,60,56,55,50,64,61,56,53,46
FIBRES,,,,,,,,,,
Jute,99,100,109,112,111,147,148,161,174,167
Cotton,110,111,108,107,102,104,116,151,108,63
Sunhemp,03,03,-,,,32,30,-,,
DRUGS & NARCOTICS,,,,,,,,,,
Tea,136,135,121,150,121,174,170,216,196,239
Tobacco,99,89,88,82,115,249,178,186,180,261
Betel nut,34,35,49,90,113,817,778,1087,950,1395
Betel Leaves,186,192,190,178,176,304,351,346,347,340
FRUITS (TEMPORARY),,,,,,,,,,
Banana,115,117,120,121,121,113,115,117,117,120
Pineapple,104,103,108,107,112,150,152,161,158,165
Water Melon,-,-,122,121,114,-,-,205,183,152
FRUITS (Permanent),,,,,,,,,,
Mango,55,83,92,98,210,626,714,792,717,750
Jack Fruit,60,49,64,45,74,479,465,474,486,469
Papaya,38,65,48,100,102,489,770,493,482,498
Litchi,81,65,82,471,505,726,770,896,934,792
Ber,44,90,121,74,1228,1343,1285,1348,1700,1923
Guava,105,102,135,133,1128,1535,1593,1706,1796,1762
Orange,55,54,53,11140,2290,187,151,158,157,159
Pomelo,21,18,18,24,717,870,914,902,938,993
Lime & Lemon,107,88,117,81,2925,1089,1034,1096,1063,1063
