District name,November-2019,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,450,271
Khagrachari,350,200,0,0,0,0,397,259
Rangamati,381,306,360,256,340,0,438,320
Chattogram,470,357,466,350,450,300,539,370
Coxbazar,500,340,450,330,370,260,590,380
Cumilla,406,350,385,342,363,330,442,360
Chandpur,0,0,0,0,0,0,382,0
Brahmmanbaria,361,275,345,0,320,250,413,288
Noakhali,461,0,450,0,425,0,480,0
Lakshmipur,0,0,0,0,0,0,400,0
Feni,0,0,510,0,458,0,575,0
Chattogram Division,418,305,424,320,389,285,464,321
Sylhet,408,350,382,280,0,0,422,300
Moulvibazar,379,320,372,300,0,0,408,336
Sunamganj,462,412,,0,,0,470,391
Habiganj,314,0,0,0,0,0,356,260
Sylhet Division,391,361,377,290,0,0,414,322
Dhaka,480,415,470,400,0,0,500,440
Gazipur,413,345,0,0,386,310,482,388
Manikganj,423,275,421,246,367,235,464,271
Munshiganj,0,300,0,0,400,0,420,325
Narayanganj,450,400,412,350,385,335,490,345
Narsingdi,0,0,400,300,380,0,430,0
Faridpur,400,320,360,0,0,0,455,0
Rajbari,400,350,367,300,317,300,450,400
Madaripur,350,300,0,0,280,250,415,333
Gopalganj,464,0,440,0,420,0,477,325
Shariatpur,300,260,0,0,0,0,365,0
Tangail,0,0,0,0,0,0,0,0
Kishoreganj,414,0,373,0,400,0,427,300
Dhaka Division,409,329,405,319,371,286,448,347
Mymensingh,0,0,0,0,0,0,0,0
Jamalpur,420,0,393,0,353,0,431,0
Sherpur,453,0,446,0,435,0,469,0
Netrokona,463,360,450,0,440,0,500,0
Mymensingh Division,445,360,430,0,409,0,467,0
