Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,0,0,13,0,0,0,0,0,11,0,0,11
2,Barishal,0,0,29,0,0,0,0,0,59,0,0,59
3,Bhola,0,0,19,0,0,0,0,0,12,0,0,12
4,Jhallokati,0,0,15,0,0,0,0,0,15,0,0,15
5,Patuakhali,0,0,30,0,0,0,0,0,36,0,0,36
6,Pirojpur,0,0,2,0,0,0,0,0,3,0,0,3
1,Barishal,0,0,108,0,0,0,0,0,136,0,0,136
7,Bandarban,0,0,0,0,0,0,0,0,1,0,0,1
8,Brahmanbaria,0,0,38,0,0,0,0,0,108,0,0,108
9,Chandpur,0,0,0,0,0,0,0,0,7,0,0,7
10,Chattogram,0,0,0,0,0,0,0,0,49,0,0,49
11,Cumilla,0,0,0,0,0,0,0,0,0,0,0,0
12,Cox's Bazar,0,0,0,0,0,0,0,0,0,0,0,0
13,Feni,0,0,1,0,0,0,0,0,3,0,0,3
14,Khagrachhari,0,0,3,0,0,0,0,0,3,0,0,3
15,Laksmipur,0,0,0.37,0,0,0,0,0,5,0,0,5
16,Noakhali,0,0,0,0,0,0,0,0,0,0,0,0
17,Rangamati,0,0,20,0,0,0,0,0,26,0,0,26
2,Chattogram,0,0,62,0,0,0,0,0,202,0,0,202
18,Dhaka,0,0,14,0,0,0,0,0,49,0,0,49
19,Faridpur,0,0,20,0,0,21,0,0,349,0,0,370
20,Gazipur,0,0,132,0,0,0,0,0,19,0,0,19
21,Gopalganj,0,0,9,0,0,0,0,0,125,0,0,125
22,Kishorganj,0,0,8,0,0,0,0,0,9,0,0,9
23,Madaripur,0,0,7,0,0,0,0,0,57,0,0,57
24,Manikganj,0,0,126,0,0,0,0,0,52,0,0,52
25,Munshiganj,0,0,6,0,0,0,0,0,11,0,0,11
26,Narayanganj,0,0,5,0,0,0,0,0,32,0,0,32
27,Narsingdi,0,0,10,0,0,0,0,0,85,0,0,85
28,Rajbari,0,0,6,0,0,0,0,0,13,0,0,13
29,Shariatpur,0,0,6,0,0,62,0,0,34,0,0,96
30,Tangail,0,0,0,0,0,0,0,0,0,0,0,0
3,Dhaka,0,0,349,0,0,83,0,0,835,0,0,918
31,Bagerhat,0,0,0,0,0,0,0,0,0,0,0,0
32,Chuadanga,0,0,0,0,0,0,0,0,7,0,0,7
33,Jashore,0,0,0,0,0,0,0,0,0,0,0,0
34,Jhenaidah,0,0,3,0,0,0,0,0,14,0,0,14
35,Khulna,0,0,3,0,0,0,0,0,2,0,0,2
36,Kushtia,0,0,6,0,0,0,0,0,13,0,0,13
