District name,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barisal,450,0,400,0,0,0,500,0
Jhalokathi,450,0,0,0,0,0,480,0
Perojpur,440,400,0,0,0,0,470,450
Bhola,440,0,0,0,0,0,460,0
Patuakhali,420,0,0,0,0,0,450,0
Barguna,425,0,0,0,0,0,450,0
Barisal Division,438,400,400,0,0,0,468,450
Jashore,0,0,0,0,0,0,288,213
Jhenaidah,341,249,337,240,320,230,378,262
Magura,369,0,342,0,304,0,403,0
Narail,335,0,0,0,325,0,345,335
Khulna,0,0,0,0,0,0,528,422
Bagerhat,430,350,415,320,400,300,444,465
Satkhira,0,0,0,0,0,0,310,209
Kushtia,348,0,330,0,300,0,406,0
Chuadanga,250,0,0,0,0,0,280,0
Meherpur,267,0,0,0,0,0,300,0
Khulna Division,334,300,356,280,330,265,368,318
Rajshahi,360,288,352,275,340,0,374,288
Naogaon,371,293,351,275,322,241,380,308
Natore,320,242,300,220,280,210,332,254
Chapai Nawabganj,309,250,300,240,280,230,320,257
Bogra,415,0,348,0,325,250,425,0
Joypurhat,300,250,0,0,285,260,335,305
Pabna,497,343,475,335,0,0,505,360
Sirajganj,0,0,0,0,0,0,354,0
Rajshahi Division,367,278,354,269,305,238,378,295
Rangpur,380,240,0,0,0,0,345,228
Gaibandha,0,0,0,0,0,0,324,275
Kurigram,330,210,0,0,0,0,327,250
Nilphamari,379,250,0,0,0,0,345,229
Lalmonirhat,,,,,,,,
Dinajpur,367,292,327,270,300,0,384,298
Thakurgaon,331,278,0,0,0,0,318,263
Panchagarh,353,248,0,0,0,0,327,226
Rangpur Division,357,253,327,270,300,0,339,253
BANGLADESH,395,302,383,296,364,265,412,318
