Name of Crops,2016-17,,2017-18,,2018-19,
,"Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)"
Pumpkin (Kharif),27833,103900,27500,111986,28394,114407
Brinjal(Kharif),45665,159891,45760,160145,47213,170189
Patal,24438,85966,24049,85188,24364,85374
Lady’s Finger,28106,54901,28303,56145,28647,54183
Ridge Gourd (Jhinga),25034,48851,24827,50240,25190,52187
Bitter Gourd (Karala),26250,57386,26490,57908,26491,54443
Maan Kachu,0,0,0,0,4772,16845
Mura Kachu,0,0,0,0,10229,36578
Colocacia (Kachur Lati),17642,46291,17043,42034,16738,41521
Khirai,14038,50495,14080,47475,13381,45916
Kachu Sak,0,0,0,0,4187,6228
Owl Kachu,0,0,0,0,2214,12165
Mukhi Kachu,0,0,0,0,25296,109322
Pani Kachu,0,0,0,0,13018,57149
Total kachu,58486,243539,55228,230232,-,-
Ash Gourd (Chalkumra),24742,74052,24560,74753,25303,78845
Cucumber,23355,70759,23695,65499,24608,73220
Long bean (Barbati),16085,25206,16284,25651,17519,28915
Indian Spinach (Puishak),25597,79093,25611,81903,26062,83189
Snake Gourd (Chichinga),19130,38692,18515,37342,18523,37613
Amaranth (Danta),26674,72277,26881,74899,26608,75146
Karala (Kakrol),11882,27268,12352,28648,12634,24291
Sponga Gourd (Dundal),9960,19450,9704,19512,10705,21426
Sajna,0,28632,1409,31437,16967,28745
Green Papaya(katcha Pepe),7223,222711,5722,256675,21776,352816
Green Banana,27584,150264,28044,157037,27857,160891
Pat Sak,0,0,0,0,6738,12175
Data Sak,0,0,0,0,13007,27334
Kalmi Sak,0,0,0,0,5665,10274
Others,27263,51864,25327,47690,-,-
Total,486987,1711488,481384,1742399,524106,1871387
