Station Year Jan. Feb. Mar. Apr. May June July. Aug. Sep. Oct. Nov. Dec. Yearly
Dhaka 2017 20.6 23.6 25.4 28.4 30.2 29.8 29.2 29.7 30.0 28.4 25.4 21.9 26.9
Tangail 2017 18.9 22.3 24.5 27.8 29.6 29.6 29.4 30.0 30.1 28.4 24.2 20.9 26.3
Mymensinghh 2017 19.4 22.1 23.2 26.3 28.4 28.9 29.1 29.4 29.4 27.8 24.1 21.4 25.8
Faridpur 2017 19.2 22.6 25.5 28.8 30.2 29.8 29.2 29.8 29.9 28.1 24.5 21.1 26.6
Madaripur 2017 19.2 22.5 25.2 28.4 30.0 29.5 29.1 29.6 29.8 28.1 24.7 21.1 26.4
Srimangal 2017 18.6 21.2 23.3 26.2 28.4 28.3 29.1 29.3 29.1 27.4 23.7 20.4 25.4
Sylhet 2017 21.0 22.9 23.2 25.4 28.0 28.2 29.2 29.0 29.0 27.8 25.1 21.8 25.9
Bogura 2017 19.3 22.0 24.0 27.5 29.2 29.8 29.3 30.1 30.1 28.2 24.5 21.3 26.3
Dinajpur 2017 17.8 20.6 22.7 26.3 28.3 30.1 29.6 29.9 30.0 27.6 22.9 20.1 25.5
Ishurdi 2017 18.1 21.5 25.0 29.0 30.1 30.4 29.3 30.2 30.1 28.2 23.6 20.3 26.3
Rajshahi 2017 18.1 21.2 24.9 29.2 30.0 30.8 29.5 30.5 30.3 28.1 23.4 20.4 26.4
Rangpur 2017 18.6 21.0 22.6 26.1 27.9 29.6 29.4 29.7 29.6 27.7 23.4 20.8 25.5
sydpur 2017 18.6 21.1 22.8 26.1 28.1 29.7 29.4 29.9 29.9 27.4 23.2 20.5 25.6
chuadanga 2017 18.1 21.7 25.7 29.5 30.0 30.6 29.3 30.0 30.4 28.3 23.3 20.0 26.4
Jessore 2017 18.8 22.4 25.9 30.0 31.0 30.4 29.3 30.2 30.6 28.5 24.0 20.3 26.8
Khulna 2017 19.6 23.1 26.2 29.8 30.9 30.4 29.2 29.9 30.2 28.1 24.6 21.3 26.9
Mongla 2017 20.3 24.0 26.7 29.9 31.1 30.4 29.2 29.5 29.6 27.9 24.9 21.6 27.1
Satkhira 2017 18.7 22.7 25.9 29.9 30.9 30.2 28.9 29.6 29.9 27.9 23.8 20.4 26.6
Barisal 2017 19.3 22.8 25.5 28.8 30.4 29.7 28.8 29.5 29.3 28.0 24.6 21.2 26.5
Bhola 2017 19.6 23.2 25.6 28.7 30.3 29.6 28.9 29.7 29.2 28.0 24.8 21.3 26.6
Khepupara 2017 20.1 23.6 26.1 29.1 30.6 29.6 28.3 29.4 29.1 27.8 24.7 21.6 26.7
Patuakhali 2017 20.2 23.8 26.3 28.9 30.4 29.8 28.8 29.5 29.4 27.9 25.0 21.9 26.8
Chandpur 2017 20.3 23.5 25.4 28.6 30.5 29.7 29.2 30.0 29.9 28.5 25.4 22.1 26.9
Ambagan(Ctg) 2017 22.0 24.3 25.5 27.8 29.9 28.7 28.3 28.8 28.7 28.4 26.4 23.1 26.8
Chattagaram 2017 21.4 24.0 25.5 28.0 30.1 29.1 28.6 29.3 29.0 28.2 26.4 22.8 26.9
Cumilla 2017 19.7 22.8 24.4 27.0 29.4 28.8 28.6 29.1 29.0 27.9 25.1 21.7 26.1
Cox's Bazar 2017 22.3 24.5 25.5 27.9 30.0 28.7 27.8 28.3 28.4 28.3 26.8 23.8 26.9
Feni 2017 20.2 23.4 24.8 27.4 29.7 28.9 28.4 29.1 29.0 27.8 25.0 21.7 26.3
Hatiya 2017 20.4 23.1 25.0 27.9 29.6 29.0 28.2 28.8 28.5 28.1 25.3 21.8 26.3
Kutubdia 2017 21.2 23.5 25.2 27.8 29.8 29.1 28.3 28.8 28.7 28.3 26.2 22.8 26.6
M.court 2017 20.2 23.5 25.4 28.4 30.5 29.6 28.6 29.6 29.3 28.3 25.7 22.2 26.8
Rangamati 2017 20.2 22.9 24.2 27.3 29.2 27.6 27.9 28.5 28.3 27.6 25.2 21.9 25.9
Sandwip 2017 20.3 23.3 24.8 27.9 29.7 28.6 28.1 28.5 28.3 27.9 25.5 21.8 26.2
Sitakunda 2017 20.3 23.2 24.8 27.5 29.7 28.7 28.5 28.8 28.8 27.9 25.3 21.6 26.3
Teknaf 2017 21.7 23.3 25.8 28.0 29.9 29.1 28.1 28.5 28.8 28.9 27.5 23.4 26.9
