Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,7,96,123,69,469,77,555,329,619,624,798,696
2,Barishal,16,173,228,270,290,344,1521,1605,1986,1791,1895,2330
3,Bhola,0,46,64,0,0,185,3409,699,653,3409,699,838
4,Jhallokati,0,24,30,0,0,0,792,213,300,792,213,300
5,Patuakhali,0,98,123,0,50,36,845,1168,841,845,1218,877
6,Pirojpur,21,82,113,145,157,174,476,584,601,621,741,775
1,Barishal,44,518,538,484,966,816,7598,4598,5000,8082,5564,5816
7,Bandarban,117,82,104,1294,1328,1260,863,829,2167,2157,2157,3427
8,Brahmanbaria,0,28,37,0,0,150,461,498,419,461,498,569
9,Chandpur,3,117,149,81,91,64,1984,2154,1583,2065,2245,1647
10,Chattogram,127,238,328,470,469,463,2495,2569,2964,2965,3038,3427
11,Cumilla,1,151,201,12,12,1055,1931,1931,1113,1943,1943,2168
12,Cox's Bazar,94,83,127,590,590,3361,1400,1400,2448,1990,1990,5809
13,Feni,0,59,58,0,0,0,727,674,493,727,674,493
14,Khagrachhari,132,156,213,89,973,814,2066,1348,1512,2155,2321,2326
15,Laksmipur,26,258,323,100,0,0,3411,3395,3048,3511,3395,3048
16,Noakhali,35,119,152,799,1772,0,4074,1830,2032,4873,3602,2032
17,Rangamati,18,358,428,2852,2729,2657,2391,2524,1981,5243,5253,4638
2,Chattogram,553,1650,1669,6287,7964,9824,21803,19152,19760,28090,27116,29584
18,Dhaka,643,133,165,349,1015,554,2049,1231,889,2398,2246,1443
19,Faridpur,110,100,126,104,98,265,564,574,315,668,672,580
20,Gazipur,94,183,22,1394,1062,918,715,519,645,2109,1581,1563
21,Gopalganj,19,203,258,267,173,230,991,1085,1321,1258,1258,1551
22,Kishorganj,8,74,95,176,210,247,980,886,858,1156,1096,1105
23,Madaripur,8,202,376,812,812,216,2388,2388,364,3200,3200,580
24,Manikganj,9,94,119,76,120,210,1128,1142,1155,1204,1262,1365
25,Munshiganj,3,42,52,24,24,21,439,439,440,463,463,461
26,Narayanganj,859,85,107,260,159,169,714,737,764,974,896,933
27,Narsingdi,98,131,189,656,656,1049,594,594,631,1250,1250,1680
28,Rajbari,63,120,75,482,616,440,647,648,289,1129,1264,729
29,Shariatpur,0,121,153,0,0,1205,1942,1941,689,1942,1941,1894
30,Tangail,28,360,457,608,542,4770,3239,3359,949,3847,3901,5719
3,Dhaka,1942,1847,1937,5208,5487,10294,16390,15543,9309,21598,21030,19603
31,Bagerhat,22,85,105,52,72,0,470,655,1014,522,727,1014
32,Chuadanga,67,73,93,1920,1397,984,657,533,3120,2577,1930,4104
33,Jashore,92,143,159,1639,1638,1707,1483,1530,1535,3122,3168,3242
34,Jhenaidah,46,76,97,642,1288,1133,796,881,17,1438,2169,1150
35,Khulna,49,112,203,257,249,157,906,869,863,1163,1118,1020
36,Kushtia,47,166,184,1273,14,84,4201,3074,4695,5474,3088,4779
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
37,Magura,20,106,144,725,814,2352,1873,2183,52,2598,2997,2404
38,Meherpur,33,48,62,459,379,743,418,769,330,877,1148,1073
39,Narail,7,45,65,107,102,959,1355,1411,721,1462,1513,1680
40,Satkhira,22,242,305,667,855,659,1421,1219,1565,2088,2074,2224
4,Khulna,405,1095,1135,7741,6808,8778,13580,13124,13912,21321,19932,22690
41,Jamalpur,43,164,209,405,453,460,2652,992,2490,3057,1445,2950
42,Mymensing,36,264,208,617,353,298,2340,2966,3623,2957,3319,3921
43,Netrakona,2,56,74,44,45,87,816,847,1167,860,892,1254
44,Sherpur,8,115,135,336,216,311,1336,1229,1195,1672,1445,1506
5,Mymensing,89,599,564,1402,1067,1156,7144,6034,8475,8546,7101,9631
45,Bogura,190,269,342,2896,2640,2641,1725,1457,1459,4621,4097,4100
46,Joypurhat,16,47,60,30,398,480,541,225,105,571,623,585
47,Naogaon,4,78,100,107,129,119,1644,1672,1795,1751,1801,1914
48,Natore,62,258,446,4860,5616,2242,9100,10816,10807,13960,16432,13049
49,Chapai Nawabganj,27,50,80,266,378,29,567,556,1200,833,934,1229
50,Pabna,52,427,521,754,755,770,3730,3715,2357,4484,4470,3127
51,Rajshahi,312,262,395,4463,2836,6057,2665,4067,1728,7128,6903,7785
52,Sirajganj,1,224,285,73,58,65,2989,2622,2921,3062,2680,2986
6,Rajshahi,664,1616,1757,13449,12810,12403,22961,25130,22372,36410,37940,34775
53,Dinajpur,25,153,204,458,389,380,1119,1373,1504,1577,1762,1884
54,Gaibandha,4,158,158,428,1543,626,861,306,994,1289,1849,1620
55,Kurigram,10,112,141,55,128,71,770,1302,1473,825,1430,1544
56,Lalmonirhat,10,48,61,203,260,130,640,572,611,843,832,741
57,Nilphamari,20,84,104,78,166,215,627,1112,1456,705,1278,1671
58,Panchagarh,14,54,69,132,402,526,888,568,499,1020,970,1025
59,Rangpur,31,99,127,350,395,392,942,923,979,1292,1318,1371
60,Thakurgaon,112,36,45,36,35,35,461,487,489,497,522,524
7,Rangpur,226,743,717,1740,3318,2375,6308,6643,8005,8048,9961,10380
61,Habiganj,5,21,26,156,162,172,315,317,309,471,479,481
62,Maulvibazar,0,70,26,0,0,221,1001,1009,974,1001,1009,1195
63,Sunamganj,0,41,54,0,0,0,667,688,570,667,688,570
64,Sylhet,14,51,76,63,61,249,350,717,835,413,778,1084
8,Sylhet,19,183,145,219,223,642,2333,2731,2688,2552,2954,3330
,BANGLADESH,3942,8251,8461,36530,38643,46288,98117,92955,89521,134647,131598,135809
