Station,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Dhaka,1,115,39,212,231,242,383,223,161,188,37,5,1837
Tangail,0,52,17,195,295,327,484,158,**,**,**,**,**
Mymensinghh,0,32,6,84,337,402,603,118,**,**,**,**,**
Faridpur,0,94,10,72,164,105,284,223,**,**,**,**,**
Srimongal,0,134,89,71,143,212,310,354,**,**,**,**,**
Sylhet,0,42,34,131,439,465,485,177,205,**,**,**,**
Bogura,0,29,39,349,653,789,697,446,309,348,9,0,3668
Dinajpur,0,26,13,55,158,348,451,132,160,287,2,1,1633
Ishwardi,0,27,0,130,187,293,680,328,492,151,**,**,**
Rajshahi,0,186,8,82,126,288,300,148,179,**,**,**,**
Rangpur,0,46,67,114,147,121,262,114,187,174,3,0,1235
Sayedpur,0,28,2,141,347,288,594,223,517,149,**,**,**
Chuadanga,0,42,1,114,192,344,519,299,509,110,**,**,**
Jashore,0,79,16,81,227,148,172,130,262,141,31,****,******
Khulna,0,107,68,173,122,134,219,238,**,**,**,**,**
Mongla,0,166,74,102,104,114,335,370,**,**,**,**,**
Satkhira,0,100,41,101,82,286,301,389,290,97,265,0,1952
Barishal,0,125,86,101,117,218,143,573,**,**,**,**,**
Bhola,0,64,29,95,139,148,454,255,238,190,0,0,1612
Khapupara,0,57,44,93,146,147,407,362,268,94,259,18,1895
Patuakhali,0,58,62,82,182,510,629,684,270,393,220,5,3095
Chandpur,0,74,45,65,163,262,618,338,**,**,**,**,**
Chi(Ambagan),0,122,42,110,214,193,394,291,143,128,0,0,1637
Chi(Patanga),0,1,81,6,77,311,1513,**,**,**,**,**,**
Cumilla,0,5,0,28,183,114,1110,466,365,**,**,**,**
Cox`s Bazar,0,70,29,238,269,202,477,250,208,108,0,0,1851
Feni,0,12,82,16,98,225,951,412,628,256,80,80,2840
Hatia,0,80,34,143,199,261,802,492,324,**,**,**,**
Kutubdia,0,48,31,39,162,344,1000,509,297,**,**,**,**
Maijdi Court,0,21,46,23,94,139,1244,303,496,187,57,3,2613
Rangamati,0,64,45,134,291,266,729,474,423,243,0,0,2669
Sandwip,0,36,15,102,215,267,1137,355,271,170,133,5,2706
Sitakunda,0,33,5,78,168,235,1226,305,**,**,**,**,**
Teknaf,0,35,20,222,286,250,1472,424,333,**,**,**,**
