Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,427,431,6614,511,921,1303,3182,3159,4488,3693,4080,5791
2,Barishal,0,0,9884,0,0,0,4453,7897,8259,4453,7897,8259
3,Bhola,0,0,2577,0,0,98,1510,1659,1906,1510,1659,2004
4,Jhallokati,0,0,1856,0,0,0,985,834,946,985,834,946
5,Patuakhali,0,0,6885,0,0,0,3611,3964,3964,3611,3964,3964
6,Pirojpur,28,52,8574,153,309,353,3732,4406,4476,3885,4715,4829
1,Barishal,455,483,36390,664,1230,1754,17473,21919,24039,18137,23149,25793
7,Bandarban,400,355,2826,1547,1559,1559,2206,2144,2148,3753,3703,3707
8,Brahmanbaria,0,0,2945,0,0,69,9097,9588,9517,9097,9588,9590
9,Chandpur,0,0,1049,0,0,0,74,7848,9392,74,7848,9392
10,Chattogram,6418,64,3247,103,106,524,13682,13755,16942,13785,13861,17466
11,Cumilla,52,45,27711,934,738,9685,25905,2475,13654,26839,3213,23339
12,Cox's Bazar,223,221,253,846,855,778,5266,5165,5344,6112,6020,6122
13,Feni,10,10,1264,55,62,81,4248,3195,4106,4303,3257,4187
14,Khagrachhari,2161,2305,3793,3889,3490,5842,2315,2262,2651,6204,5752,8493
15,Laksmipur,27,0,1267,30,0,0,1626,2020,4187,1656,2020,4187
16,Noakhali,0,0,999,0,0,0,3319,6646,6204,3319,6646,6204
17,Rangamati,444,674,3900,2939,1411,3425,2706,3957,2338,5645,5368,5763
2,Chattogram,9735,3674,49254,10343,8221,21963,70444,59055,76483,80787,67276,98450
18,Dhaka,122,120,506,537,529,1865,3346,3550,4209,3883,4079,6074
19,Faridpur,160,160,160,2150,2118,4037,5706,5467,2760,7856,7585,6797
20,Gazipur,331,329,331,1085,1038,688,8612,3613,738,9697,4651,1426
21,Gopalganj,437,254,738,1313,1000,2125,3202,4537,4312,4515,5537,6437
22,Kishorganj,4,16,320,37,162,132,8485,9404,9727,8522,9566,9859
23,Madaripur,1,1,5479,5,6,4423,5277,5243,946,5282,5249,5369
24,Manikganj,157,157,982,909,910,942,4018,4166,4315,4927,5076,5257
25,Munshiganj,31,0,280,0,0,101,2997,3066,2865,2997,3066,2966
26,Narayanganj,0,32,80,123,107,95,2430,2159,2093,2553,2266,2188
27,Narsingdi,223,234,272,585,564,679,3650,4797,5324,4235,5361,6003
28,Rajbari,461,575,512,2987,4230,22103,14843,22412,4984,17830,26642,27087
29,Shariatpur,58,80,112,166,300,5274,8558,5579,573,8724,5879,5847
30,Tangail,886,888,893,1943,1948,11715,11440,11659,2586,13383,13607,14301
3,Dhaka,2871,2846,10665,11840,12912,54179,82564,85652,45432,94404,98564,99611
31,Bagerhat,48,46,314,67,73,81,1410,1562,1740,1477,1635,1821
32,Chuadanga,469,276,885,4631,4788,5152,1857,1968,2054,6488,6756,7206
33,Jashore,1139,983,3592,4958,5193,4743,5749,6394,5541,10707,11587,10284
34,Jhenaidah,509,534,2103,7041,7177,8497,10646,11008,11381,17687,18185,19878
35,Khulna,2441,390,1015,937,961,925,5863,6228,6688,6800,7189,7613
36,Kushtia,135,10,4439,11348,11804,12502,33700,34804,35411,45048,46608,47913
