"SL
No",Nane of Region,Aman,Boro,Wheat,"Sugar
-cane",Cotton,Potato,Vegetables,"Other
Crops","Total
Irrigated Area"
33,Barisal,1,139,2,1,0,2,16,3,164
34,Jhalokathi,1,27,..,..,0,..,14,1,43
35,Perojpur,0,45,..,..,0,3,12,4,64
36,Bhola,0,114,..,..,0,6,20,6,146
37,Patuakhali,1,2,0,0,0,1,2,34,40
38,Barguna,..,16,0,..,0,3,7,2,28
,Barisal Division,3,343,2,1,0,15,71,50,485
39,Jashore,150,383,2,1,3,7,51,37,634
40,Jhenaidah,146,206,8,3,4,4,36,86,493
41,Magura,83,98,18,..,..,..,34,50,283
42,Narail,28,87,10,1,0,..,8,7,141
43,Khulna,3,132,1,..,0,2,27,8,174
44,Bagerhat,1,104,1,..,0,1,14,5,126
45,Satkhira,8,170,3,..,0,8,39,3,231
46,Kushtia,197,91,15,9,2,5,47,142,508
47,Chuadanga,107,114,11,13,5,8,82,158,498
48,Meherpur,58,54,10,2,1,4,58,97,284
,Khulna Division,781,1440,79,29,15,39,396,593,3372
49,Rajshahi,118,157,51,18,..,101,51,132,628
50,Naogaon,230,468,59,1,0,50,35,80,923
51,Natore,89,142,51,34,0,2,8,37,363
52,Chapai Nawbganj,66,113,65,3,0,2,9,79,337
53,Bogura,91,459,6,1,..,160,33,44,790
54,Joypurhat,17,174,6,2,0,80,11,5,295
55,Pabna,93,149,85,3,0,6,17,66,419
56,Sirajganj,98,344,5,1,0,3,16,36,503
,Rajshahi Division,802,2006,328,63,0,404,176,479,4258
57,Rangpur,42,338,7,1,..,113,23,23,547
58,Gaibandha,37,323,6,1,..,20,23,21,431
59,Kurigram,26,246,23,..,0,18,10,5,328
60,Nilphamari,42,212,16,..,..,54,13,32,369
61,Lalmonirhat,26,124,4,..,..,12,7,60,233
62,Dinajpur,217,434,31,5,..,116,46,111,960
63,Thakurgaon,46,139,151,15,0,58,13,52,474
64,Panchagarh,1,64,34,1,0,19,11,27,157
,Rangpur Division,437,1880,272,23,0,410,146,331,3499
,BANGLADESH,2585,11337,865,140,19,1065,1194,1785,18990
