SL:,Name of crops,2013-14,2014-15,2015-16,2016-17,2017-18
1,2,3,4,5,6,7
40,Cauliflower,1617,1261,1640,1951,1900
41,Brinjal,2050,2005,2361,2411,2736
42,Radish,938,824,914,1246,1204
43,Water gourd,1526,1265,1330,1563,1605
44,Chichinga,1559,1852,2035,1950,2134
45,Tomato,1904,1986,1697,2006,2302
46,Chalkumra,1221,1382,1551,1528,1515
47,Potato (local),1449,1772,1897,1718,1580
48,Potato (Holand),1008,1277,1520,1325,1266
49,S.Potato,1267,1270,1400,1302,1573
50,Banana(Champa),186,203,211,197,191
51,Banana(Sabri),305,321,319,345,328
52,Banana(Shagar),223,249,237,268,255
53,Pine Apple (Jul Doog),1867,1653,1717,1599,1903
54,Pine Apple (Kelendar),2018,1852,2506,2149,2327
55,Lemon,206,258,258,272,265
56,Jack Fruit,6529,6228,4636,7717,4089
57,Water melon,7639,6220,8005,8555,6249
58,Litchi,263,190,204,224,207
59,Orange,988,1534,887,909,1001
60,Mango (Guti),3855,3059,3392,2988,3199
61,Mango (Fozli),6182,5685,5393,8966,4710
62,Mango (Ashwini),4468,4759,4373,5579,4253
63,Mango (Langra),4987,4989,4666,5122,5128
64,Mango (Gopalvog),4907,4671,4500,4500,3708
65,Coconut,2625,2637,2555,2470,2389
