District name,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barisal,392,0,360,0,0,0,404,0
Jhalokathi,400,0,0,0,0,0,415,0
Perojpur,395,0,0,0,0,0,405,0
Bhola,400,0,0,0,0,0,410,0
Patuakhali,380,350,0,0,0,0,400,365
Barguna,400,0,0,0,0,0,420,0
Barisal Division,395,350,360,0,0,0,409,365
Jashore,0,0,0,0,0,0,323,280
Jhenaidah,304,230,303,228,288,205,358,244
Magura,281,0,237,0,223,0,323,0
Narail,355,0,346,0,314,0,418,400
Khulna,0,0,0,0,0,0,476,370
Bagerhat,465,280,422,250,395,225,486,315
Satkhira,0,0,0,0,0,0,305,214
Kushtia,364,0,330,0,290,0,408,0
Chuadanga,275,0,0,0,0,0,280,0
Meherpur,240,0,0,0,0,0,267,0
Khulna Division,326,255,328,239,302,215,364,304
Rajshahi,335,244,329,208,0,0,341,250
Naogaon,345,283,330,277,293,237,397,300
Natore,323,200,0,0,300,250,324,275
Chapai Nawabganj,333,275,300,265,300,255,355,287
Bogra,0,0,0,0,355,252,425,300
Joypurhat,300,250,0,0,280,230,320,280
Pabna,385,230,350,210,342,0,400,245
Sirajganj,0,0,0,0,0,0,285,0
Rajshahi Division,337,247,327,240,312,245,356,277
Rangpur,290,250,0,0,0,0,294,256
Gaibandha,308,188,0,0,0,0,315,233
Kurigram,297,189,0,0,0,0,321,244
Nilphamari,333,241,0,0,0,0,351,260
Lalmonirhat,335,227,0,0,0,0,366,256
Dinajpur,0,0,0,0,0,0,310,242
Thakurgaon,0,0,0,0,0,0,290,257
Panchagarh,300,235,0,0,0,0,325,298
Rangpur Division,261,183,0,0,0,0,281,219
BANGLADESH,369,288,360,283,345,242,395,322
