District name,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barisal,427,0,0,0,0,0,468,0
Jhalokathi,481,0,0,0,0,0,533,0
Perojpur,445,375,0,0,0,0,492,400
Bhola,415,0,380,0,0,0,465,0
Patuakhali,439,0,430,0,0,0,500,0
Barguna,385,0,,0,0,0,410,0
Barisal Division,432,375,405,0,0,0,478,400
Jashore,0,0,0,0,0,0,466,257
Jhenaidah,343,240,340,225,328,214,308,251
Magura,438,0,406,0,379,0,482,0
Narail,340,0,330,0,315,0,374,335
Khulna,0,0,0,0,0,0,523,432
Bagerhat,516,330,475,310,460,300,535,350
Satkhira,0,0,0,0,0,0,390,275
Kushtia,338,0,320,0,280,0,392,0
Chuadanga,340,0,0,0,0,0,355,0
Meherpur,300,0,0,0,0,0,350,0
Khulna Division,374,285,374,268,352,257,418,317
Rajshahi,360,340,345,255,0,0,362,325
Naogaon,335,273,325,270,310,260,355,280
Natore,309,222,0,0,0,0,347,245
Chapai Nawabganj,281,225,270,215,255,210,300,233
Bogra,0,0,0,0,356,262,450,350
Joypurhat,350,250,0,0,330,220,360,278
Pabna,404,240,317,217,300,0,360,242
Sirajganj,0,0,0,0,0,0,422,300
Rajshahi Division,340,258,314,239,310,238,370,282
Rangpur,340,215,0,0,0,0,316,200
Gaibandha,0,0,0,0,0,0,315,258
Kurigram,352,230,0,0,0,0,334,267
Nilphamari,336,224,0,0,0,0,305,250
Lalmonirhat,323,208,0,0,0,0,307,220
Dinajpur,300,233,292,220,280,0,333,238
Thakurgaon,300,270,0,0,0,0,325,280
Panchagarh,341,246,0,0,0,0,317,260
Rangpur Division,327,232,292,220,280,0,319,247
BANGLADESH,410,304,410,301,397,297,439,325
