District name,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barisal,390,0,0,0,0,0,420,0
Jhalokathi,400,0,0,0,0,0,430,430
Perojpur,370,0,0,0,0,0,410,0
Bhola,370,340,360,300,0,0,410,400
Patuakhali,370,0,0,0,0,0,400,0
Barguna,380,0,0,0,0,0,410,0
Barisal Division,380,340,360,300,0,0,413,415
Jashore,0,0,0,0,0,0,226,184
Jhenaidah,286,181,249,170,220,160,318,245
Magura,333,0,299,0,279,0,353,0
Narail,447,0,439,0,434,0,465,290
Khulna,0,0,0,0,345,0,399,0
Bagerhat,333,280,321,250,300,250,377,300
Satkhira,0,0,0,0,0,0,274,258
Kushtia,338,0,314,0,250,0,382,0
Chuadanga,250,0,0,0,0,0,280,0
Meherpur,240,0,0,0,0,0,260,0
Khulna Division,318,230,324,210,305,205,417,255
Rajshahi,376,252,344,219,314,214,430,292
Naogaon,336,247,325,222,305,219,387,281
Natore,0,0,0,0,0,0,337,308
"Chapai
Nawabganj",265,200,242,200,200,190,269,237
Bogra,0,0,340,0,329,250,440,0
Joypurhat,300,250,0,0,290,250,350,280
Pabna,0,0,362,280,341,208,366,280
Sirajganj,296,0,288,0,0,0,314,223
"Rajshahi
Division",314,237,317,230,297,222,362,272
Rangpur,295,175,0,0,0,0,275,180
Gaibandha,0,0,0,0,0,0,248,215
Kurigram,287,211,0,0,0,0,305,220
Nilphamari,265,188,0,0,0,0,276,193
Lalmonirhat,268,173,0,0,0,0,290,180
Dinajpur,281,217,252,204,241,180,309,236
Thakurgaon,330,248,0,0,0,0,335,258
Panchagarh,289,213,0,0,0,0,312,228
"Rangpur
Division",288,204,252,204,241,180,294,214
BANGLADESH,343,274,326,249,263,225,383,298
