District name,June-18,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,382,330
Khagrachari,300,200,0,0,0,0,338,219
Rangamati,341,266,275,213,0,0,395,294
Chattogram,474,350,455,323,427,313,503,376
Coxbazar,463,338,415,319,366,275,573,388
Cumilla,450,350,391,300,416,200,490,0
Chandpur,0,0,0,0,0,0,367,0
Brahmmanbaria,350,275,350,0,255,225,370,290
Noakhali,403,0,378,0,301,0,481,0
Lakshmipur,350,0,0,0,0,0,390,0
Feni,0,0,0,0,484,0,517,0
Chattogram Division,391,296,377,289,375,253,437,316
Sylhet,395,350,366,269,320,,405,300
Moulvibazar,375,318,358,258,0,0,410,327
Sunamganj,343,242,0,0,0,0,349,272
Habiganj,375,317,0,0,0,0,381,317
Sylhet Division,372,307,362,264,320,0,386,304
Dhaka,464,350,423,320,408,300,478,400
Gazipur,538,372,0,0,523,275,618,383
Manikganj,477,338,358,280,319,250,498,400
Munshiganj,408,0,388,0,511,0,471,0
Narayanganj,435,350,413,319,390,275,456,394
Narsingdi,0,320,421,300,406,250,469,350
Faridpur,375,300,350,0,0,0,442,0
Rajbari,400,0,0,0,0,0,450,0
Madaripur,350,0,0,0,300,350,408,316
Gopalganj,410,300,395,289,350,278,439,320
Shariatpur,323,220,300,0,0,0,341,250
Tangail,396,0,359,0,302,300,444,390
Kishoreganj,0,0,412,,395,0,469,0
Dhaka Division,416,319,424,302,390,285,460,356
Mymensingh,340,250,328,220,0,0,362,300
Jamalpur,370,340,310,280,300,220,420,360
Sherpur,390,0,382,0,340,0,424,0
Netrokona,420,280,400,250,0,0,450,300
Mymensingh Division,380,290,355,250,320,220,414,320
