District,River,"Sundar
bans",Beel,"Kaptai
Lake","Flood
Plain",Pond,"Seasonal
cultured
water body",Baor,"Shrimp/
Prawn
Farm","Pen
Culture","Cage
Culture",Total
Dinajpur,291,,532,,5895,43250,2662,,20.4,0,13,52663
Gaibandha,2099,,539,,5631,26250,743,,5.66,32,23,35323
Kurigram,3857,,1561,,11466,17304,4757,,9.16,137,103,39194
Lalmonirhat,204,,562,,1604,11737,3757,,3.41,11,0,17878
Nilphamari,199,,496,,3477,17551,688,,1.89,32,8,22453
Panchagarhh,122,,57,,2636,12455,371,,0.71,5,9,15656
Rangpur,153,,1763,,8373,26550,3619,,4.25,27,0,40489
Thakurgaon,114,,205,,3678,21929,332,,1.48,0,12,26271
Rangur Division,7039,,5715,,42760,177026,16929,,46.96,244,168,249927
Bogura,840,,2485,,4485,72265,696,,2.97,61,0,80835
Chapai Nawabganj,1928,,3007,,1439,10326,233,,0,26,72,17031
Joypurhat,187,,240,,125.12,21678,588,,19.215,3,0,22840
Naogaon,1284,,5136,,14786,55372,637,,2.15,0,64,77281
Natore,835,,951,,24918,35540,417,,3.32,0,32,62696
Pabna,4199,,2453,,10259,46195,2951,,11.06,3,38,66109
Rajshahi,2458,,4080,,5969,59132,6249,,9.07,0,11,77908
Sirajganj,4179,,676,,32117,20035,1112,,3.68,0,561,58684
Rajshahi Division,15910,,19028,,94098,320543,12883,,51.465,93,778,463384
Bandarban,146,,0,,157,1207,0,,4.06,0,0,1514
Brahmanbaria,1985,,479,,19809,34447,2790,,0,16,197,59723
Chandpur,35158,,278,,23074,37541,1806,,144.27,90,984,99075
Chattogram,6957,,49,,676,63476,3666,,1708.45,0,0,76532
Cumilla,963,,277,,70755,110209,74460,,172.6,60,50,256947
Cox’s Bazar,2326,,0,,1246,4764,156,,15659.57,0,0,24152
Feni,1291,,0,,6594,22921,231,,65.7,4,42,31149
Khagrachhari,212,,52,,256,2792,56,,0,0,0,3368
Lakshmipur,22587,,0,,10046,29728,800,,56.3,0,75,63292
Noakhali,9942,,0,,26617,46905,1153,,345.2,0,0,84962
Rangamati,209,,0,10578,0,827,0,,0,210,105,11929
Chattogram Division,81776,,1135,10578,159230,354817,85118,,18156.15,380,1453,712643
Habiganj,987,,2302,,27651,16849,267,,11.85,0,0,48068
Moulvi Bazar,474,,2858,,22101,21575,1067,,1.92,0,35,48112
Sunamganj,846,,23877,,63715,10691,965,,0.63,19,63,100177
Sylhet,844,,5245,,39799,17778,1225,,3.46,10,45,64949
Sylhet Division,3151,,34282,,153266,66893,3524,,17.86,29,143,261306
Total,325478,18282,99890,10578,781481,1974632,217340,10343,270123,12361,3802,3724310
%,8.74,0.49,2.68,0.28,20.98,53.02,5.84,0.28,7.25,0.33,0.10,100
