Zila/Division,,2017-18,,,,,2018-19,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Jashore,8464,3425,262.38,24.202,82896,6212,2514,242.30,22.350,56184
34,Jhenaidah,3899,1578,224.85,20.740,32725,4100,1659,217.42,20.055,33274
35,Khulna,1169,473,165.72,15.286,7230,1195,484,168.94,15.583,7538
36,Kustia,6007,2431,236.13,21.781,52946,5542,2243,235.05,21.681,48624
37,Magura,72,29,168.14,15.509,452,64,26,163.43,15.075,390
38,Meherpur,3203,1296,247.04,22.787,29536,2977,1205,248.61,22.932,27626
39,Narail,79,32,158.38,14.609,467,61,25,212.34,19.586,483
40,Satkhira,7022,2842,193.78,17.874,50792,4522,1830,191.58,17.671,32338
4,Khulna Division,35913,14533,226.28,20.872,303341,32685,13227,222.41,20.515,271350
41,Jamalpur.,10969,4439,206.82,19.077,84681,11125,4502,208.98,19.276,86782
42,Mymensinghh,2113,855,135.25,12.475,10668,1953,790,143.96,13.279,10492
43,Netrokona,1549,627,134.54,12.410,7779,1345,544,137.05,12.641,6881
44,Sherpur,8996,3640,205.66,18.970,69060,9527,3855,201.25,18.563,71568
5,"Mymensinghh
Division",23627,9561,195.24,18.009,172188,23950,9692,196.56,18.131,175723
45,Bogura,111604,45164,227.10,20.948,946072,108291,43823,242.42,22.361,979914
46,Joypurhat,79748,32272,225.25,20.777,670520,79648,32232,284.72,26.262,846487
47,Naogaon,28939,11711,211.47,19.506,228433,25807,10443,220.95,20.380,212840
48,Natore,97,39,194.10,17.904,703,1406,569,230.93,21.301,12118
49,"Chapai
Nawabgonj",3232,1308,213.71,19.713,25782,2617,1059,188.92,17.426,18455
50,Pabna,2057,832,138.57,12.782,10640,2041,826,159.48,14.710,12150
51,Rajshahi,95035,38459,283.17,26.119,1004519,89181,36090,293.84,27.104,978161
52,Sirajgonj,6336,2564,155.74,14.365,36833,6519,2638,145.80,13.449,35479
6,Rajshahi Division,327048,132349,239.48,22.089,2923503,315509,127680,262.85,24.245,3095603
53,Dinajpur,104533,42302,226.95,20.934,885546,107013,43306,222.62,20.534,889258
54,Gaibandha,15345,6210,183.12,16.891,104889,17417,7048,188.00,17.341,122225
55,Kurigram,15345,6210,231.59,21.362,132652,12201,4937,295.55,27.261,134603
56,Lalmonirhat,11419,4621,210.34,19.402,89656,10047,4066,218.70,20.173,82019
57,Nilphamari,52025,21053,213.75,19.716,415093,50221,20323,224.71,20.727,421245
58,Panchagar,23432,9482,221.59,20.439,193815,21429,8672,225.97,20.843,180751
59,Rangpur,111599,45162,230.15,21.229,958735,109572,44341,228.29,21.057,933714
60,Thakurgaon,53971,21841,210.45,19.412,423972,53803,21773,214.72,19.806,431227
7,"Rangpur
Division",387669,156881,221.44,20.425,3204356,381703,154467,224.25,20.684,3195041
61,Hobigonj,2850,1153,154.25,14.228,16410,2613,1057,178.22,16.439,17383
62,Maulovibazar,2254,912,174.10,16.059,14648,1873,758,163.77,15.106,11450
63,Sunamgonj,3153,1276,136.50,12.591,16065,2983,1207,156.01,14.390,17371
64,Sylhet,2316,937,130.50,12.037,11282,1927,780,135.26,12.476,9729
8,Sylhet Division,10573,4279,147.99,13.650,58404,9396,3802,159.48,14.710,55933
BANGLADESH,,999073,404303,237.87,21.941,8870806,984833,398540,239.47,22.089,8803280
