"Sl.
No.",Species,"Lower
Meghna","Upper
Meghna","Lower
Padma","Upper
Padma",Jamuna,"Brahma
Putra","Other
River",Total,%
1,Rui,165,263,242,228,183,197,1826,3104,0.97
2,Catla,111,140,158,150,123,157,1089,1928,0.60
3,Mrigal,90,126,139,61,110,142,776,1444,0.45
4,Kalibaus,0,31,61,45,36,93,372,638,0.20
5,Bata,1612,100,0,0,7,0,284,2003,0.62
6,Ghonia,0,14,0,0,0,0,19,33,0.01
7,Pangas,1079,57,68,189,0,0,183,1576,0.49
8,Boal/Air,784,140,348,210,271,419,1258,3430,1.07
9,Shol/Gazar/Taki,0,0,0,0,0,0,810,810,0.25
10,Koi,0,0,0,0,0,0,109,109,0.03
11,Shingi/Magur,0,0,0,0,0,0,104,104,0.03
12,Sarpunti,0,0,269,0,0,0,22,291,0.09
13,"Other Inland
Fish",4301,5283,156,4718,4516,4690,30937,54601,17.03
14,Hilsa/Illish,175322,1077,2692,1117,320,221,51317,232066,72.39
15,Galda,1040,144,3784,15,16,69,271,5339,1.67
16,Bagda,0,0,0,0,0,0,34,34,0.01
17,Harina,0,0,0,0,0,0,3135,3135,0.98
18,Chaka,0,0,37,0,0,0,19,56,0.02
19,"Other small
shrimp/prawn",1191,362,0,197,414,795,6938,9897,3.09
Total,,185695,7737,7954,6930,5996,6783,99503,320598,100.00
