Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19,2016-17,2017-18,2018-19
1,Barguna,0,168,65,0,0,0,36,36,50,36,36,50
2,Barishal,0,530,199,0,0,0,301,301,280,301,301,280
3,Bhola,0,208,66,0,0,0,32,32,40,32,32,40
4,Jhallokati,0,238,92,0,0,0,63,63,72,63,63,72
5,Patuakhali,0,204,77,0,0,0,28,28,48,28,28,48
6,Pirojpur,0,241,90,0,0,0,94,94,93,94,94,93
1,Barishal,0,1588,589,0,0,0,554,554,583,554,554,583
7,Bandarban,0,161,23,102,25,26,47,47,126,149,72,152
8,Brahmanbaria,0,213,215,26,39,0,150,150,177,176,189,177
9,Chandpur,0,265,0,0,0,0,123,123,243,123,123,243
10,Chattogram,0,454,0,0,0,0,416,416,404,416,416,404
11,Cumilla,0,451,47,0,17,0,334,334,300,334,351,300
12,Cox's Bazar,0,301,0,11,0,0,281,281,200,292,281,200
13,Feni,0,149,46,0,0,0,59,59,56,59,59,56
14,Khagrachhari,0,363,178,36,38,37,405,405,414,441,443,451
15,Laksmipur,0,478,400,0,0,0,185,185,184,185,185,184
16,Noakhali,0,232,156,0,0,0,205,207,82,205,207,82
17,Rangamati,0,479,426,1,1,2,299,299,557,300,300,559
2,Chattogram,0,3549,1491,176,120,65,2504,2506,2743,2680,2626,2808
18,Dhaka,0,92,15,0,0,0,86,86,87,86,86,87
19,Faridpur,0,90,90,0,0,0,49,49,51,49,49,51
20,Gazipur,0,289,324,20,23,157,272,272,146,292,295,303
21,Gopalganj,0,180,28,36,0,0,36,36,44,72,36,44
22,Kishoreganj,0,562,128,0,15,0,489,489,384,489,504,384
23,Madaripur,0,24,3,0,0,0,13,13,15,13,13,15
24,Manikganj,0,108,28,0,0,0,105,105,110,105,105,110
25,Munshiganj,0,41,5,0,0,0,24,24,20,24,24,20
26,Narayanganj,0,106,26,0,0,0,103,103,116,103,103,116
27,Narsingdi,57,684,98,393,437,0,939,939,728,1332,1376,728
28,Rajbari,0,40,0,0,0,0,15,15,0,15,15,0
29,Shariatpur,0,152,7,0,0,0,54,54,50,54,54,50
30,Tangail,30,1037,130,59,62,126,731,830,679,790,892,805
3,Dhaka,87,3405,882,508,537,283,2916,3015,2430,3424,3552,2713
31,Bagerhat,0,386,0,0,0,0,139,139,146,139,139,146
32,Chuadanga,0,15,4,0,0,0,9,9,15,9,9,15
33,Jashore,15,317,79,31,31,31,239,239,203,270,270,234
34,Jhenaidah,0,141,38,0,0,0,55,55,67,55,55,67
35,Khulna,0,197,57,0,0,0,140,140,132,140,140,132
36,Kushtia,0,42,5,0,0,0,31,31,31,31,31,31
